complexes	complex	subunits	reactions	genes	coefficients	cofactors	notes	stoichiometry	compartment	molar_mass
cplx_HOMOTETRAMER_SLC2A4_pc	cplx_HOMOTETRAMER_SLC2A4	protein_SLC2A4_pc	GLC_Dt	SLC2A4	4			protein_SLC2A4_pc(4)	pc	219143.1480000009
cplx_MONOMER_SLC43A3_pc	cplx_MONOMER_SLC43A3	protein_SLC43A3_pc	ADEt;HYXNt	SLC43A3	1		ASSUMED MONOMER	protein_SLC43A3_pc(1)	pc	54535.3930000002
cplx_HOMODIMER_SOD1_pc	cplx_HOMODIMER_SOD1	protein_SOD1_pc	SPODM	SOD1	2			protein_SOD1_pc(2)	pc	31859.137999999944
cplx_HOMODIMER_TALDO1_pc	cplx_HOMODIMER_TALDO1	protein_TALDO1_pc	TALA	TALDO1	2			protein_TALDO1_pc(2)	pc	75075.54200000013
cplx_HOMODIMER_TKT_pc	cplx_HOMODIMER_TKT	protein_TKT_pc	TKT1;TKT2	TKT	2			protein_TKT_pc(2)	pc	135756.10600000055
cplx_MONOMER_TMEM109_pc	cplx_MONOMER_TMEM109	protein_TMEM109_pc	CA2t;Kt1	TMEM109	1			protein_TMEM109_pc(1)	pc	26218.789999999986
cplx_HOMODIMER_TPI1_pc	cplx_HOMODIMER_TPI1	protein_TPI1_pc	TPI	TPI1	2			protein_TPI1_pc(2)	pc	53336.46800000004
cplx_HOMODIMER_TRPC6_pc	cplx_HOMODIMER_TRPC6	protein_TRPC6_pc	CA2t	TRPC6	2			protein_TRPC6_pc(2)	pc	212634.7519999993
cplx_HOMOTETRAMER_TRPV2_pc	cplx_HOMOTETRAMER_TRPV2	protein_TRPV2_pc	CA2t	TRPV2	4			protein_TRPV2_pc(4)	pc	343856.90800000017
cplx_HOMODIMER_VDAC1_pc	cplx_HOMODIMER_VDAC1	protein_VDAC1_pc	CA2t;NAt;Kt1	VDAC1	2			protein_VDAC1_pc(2)	pc	61550.66199999999
