	reactions	name	reaction	gene reaction rule	subsystem	spontaneous	proteomic evidence (#studies)	references	notes
362	HPDHA16GTHR	Glutathione:16-HPDHA oxidoreductase	2.0 gthrd_c + hpdha16_c --> gthox_c + h2o_c + hdha16_c	PRDX6 or GPX1 or GPX4	Docosahexaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
363	HPDHA17GTHR	Glutathione:17-HPDHA oxidoreductase	2.0 gthrd_c + hpdha17_c --> gthox_c + h2o_c + hdha17_c	PRDX6 or GPX1 or GPX4	Docosahexaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
364	HPDHA20GTHR	Glutathione:20-HPDHA oxidoreductase	2.0 gthrd_c + hpdha20_c --> gthox_c + h2o_c + hdha20_c	PRDX6 or GPX1 or GPX4	Docosahexaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
365	HPDHA4GTHR	Glutathione:4-HPDHA oxidoreductase	2.0 gthrd_c + hpdha4_c --> gthox_c + h2o_c + hdha4_c	PRDX6 or GPX1 or GPX4	Docosahexaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
366	HPDHA7GTHR	Glutathione:7-HPDHA oxidoreductase	2.0 gthrd_c + hpdha7_c --> gthox_c + h2o_c + hdha7_c	PRDX6 or GPX1 or GPX4	Docosahexaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
367	HPDHA8GTHR	Glutathione:8-HPDHA oxidoreductase	2.0 gthrd_c + hpdha8_c --> gthox_c + h2o_c + hdha8_c	PRDX6 or GPX1 or GPX4	Docosahexaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
368	EEQ1112EPHX	Epoxide hydrolase (11,12-EEQ)	eeq1112_c + h2o_c --> dihete1112_c	EPHX1	Eicosapentaenoic acid metabolism	0	EPHX1 (9)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511	
369	EEQ1415EPHX	Epoxide hydrolase (14,15-EEQ)	eeq1415_c + h2o_c --> dihete1415_c	EPHX1	Eicosapentaenoic acid metabolism	0	EPHX1 (9)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511	
370	EEQ1718EPHX	Epoxide hydrolase (17,18-EEQ)	eeq1718_c + h2o_c --> dihete1718_c	EPHX1	Eicosapentaenoic acid metabolism	0	EPHX1 (9)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511	
371	EEQ56EPHX	Epoxide hydrolase (5,6-EEQ)	eeq56_c + h2o_c --> dihete56_c	EPHX1	Eicosapentaenoic acid metabolism	0	EPHX1 (9)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511	
372	EEQ89EPHX	Epoxide hydrolase (8,9-EEQ)	eeq89_c + h2o_c --> dihete89_c	EPHX1	Eicosapentaenoic acid metabolism	0	EPHX1 (9)	pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511	
373	HPEPE11GTHR	Glutathione:11-HPEPE oxidoreductase	2.0 gthrd_c + hpepe11_c --> gthox_c + h2o_c + hepe11_c	PRDX6 or GPX1 or GPX4	Eicosapentaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
374	HPEPE12GTHR	Glutathione:12-HPEPE oxidoreductase	2.0 gthrd_c + hpepe12_c --> gthox_c + h2o_c + hepe12_c	PRDX6 or GPX1 or GPX4	Eicosapentaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
375	HPEPE15GTHR	Glutathione:15-HPEPE oxidoreductase	2.0 gthrd_c + hpepe15_c --> gthox_c + h2o_c + hepe15_c	PRDX6 or GPX1 or GPX4	Eicosapentaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
376	HPEPE18GTHR	Glutathione:18-HPEPE oxidoreductase	2.0 gthrd_c + hpepe18_c --> gthox_c + h2o_c + hepe18_c	PRDX6 or GPX1 or GPX4	Eicosapentaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
377	HPEPE5GTHR	Glutathione:5-HPEPE oxidoreductase	2.0 gthrd_c + hpepe5_c --> gthox_c + h2o_c + hepe5_c	PRDX6 or GPX1 or GPX4	Eicosapentaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
378	HPEPE8GTHR	Glutathione:8-HPEPE oxidoreductase	2.0 gthrd_c + hpepe8_c --> gthox_c + h2o_c + hepe8_c	PRDX6 or GPX1 or GPX4	Eicosapentaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
379	HPEPE9GTHR	Glutathione:9-HPEPE oxidoreductase	2.0 gthrd_c + hpepe9_c --> gthox_c + h2o_c + hepe9_c	PRDX6 or GPX1 or GPX4	Eicosapentaenoic acid metabolism	0	GPX1 (14);GPX4 (12);PRDX6 (20)	pubmed:15294349;pubmed:17651993;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:36643550	
380	TMDNC1112MOXy	Cytochromes P450:NADPH monooxygenase (eicosapentaenoate , 11,12-EEQ forming)	FA_hs_20_5Z8Z11Z14Z17Z_c + h_c + nadph_c + o2_c --> eeq1112_c + h2o_c + nadp_c		Eicosapentaenoic acid metabolism	0		pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951	
381	TMDNC1415MOXy	Cytochromes P450:NADPH monooxygenase (eicosapentaenoate , 14,15-EEQ forming)	FA_hs_20_5Z8Z11Z14Z17Z_c + h_c + nadph_c + o2_c --> eeq1415_c + h2o_c + nadp_c		Eicosapentaenoic acid metabolism	0		pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951	
382	TMDNC1718MOXy	Cytochromes P450:NADPH monooxygenase (eicosapentaenoate , 17,18-EEQ forming)	FA_hs_20_5Z8Z11Z14Z17Z_c + h_c + nadph_c + o2_c --> eeq1718_c + h2o_c + nadp_c		Eicosapentaenoic acid metabolism	0		pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951	
383	TMDNC56MOXy	Cytochromes P450:NADPH monooxygenase (eicosapentaenoate , 5,6-EEQ forming)	FA_hs_20_5Z8Z11Z14Z17Z_c + h_c + nadph_c + o2_c --> eeq56_c + h2o_c + nadp_c		Eicosapentaenoic acid metabolism	0		pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951	
384	TMDNC89MOXy	Cytochromes P450:NADPH monooxygenase (eicosapentaenoate , 8,9-EEQ forming)	FA_hs_20_5Z8Z11Z14Z17Z_c + h_c + nadph_c + o2_c --> eeq89_c + h2o_c + nadp_c		Eicosapentaenoic acid metabolism	0		pubmed:17164127;pubmed:20631410;pubmed:21398593;pubmed:22178722;pubmed:31782268;pubmed:33112511;pubmed:6727868;pubmed:7132951	
385	TMNDNCOHRI	Initiation of eicosapentaenoate radical via hydroxyl radical	FA_hs_20_5Z8Z11Z14Z17Z_c + oh1r_c --> FA_hs_20_5Z8Z11Z14Z17Zr_c + h2o_c		Eicosapentaenoic acid metabolism	1		pubmed:18243141;pubmed:9164668	
386	TMNDNCRO2P	Propogation of eicosapentaenoate radical to peroxyl radical	FA_hs_20_5Z8Z11Z14Z17Zr_c + o2_c --> FA_hs_20_5Z8Z11Z14Z17Zroo_c		Eicosapentaenoic acid metabolism	1		pubmed:18243141;pubmed:9164668	
387	TMNDNCROO11AVITE1RT	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol radical (11-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1r_c + h2o_c --> avite1qn_c + hpepe11_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
388	TMNDNCROO11AVITE1T	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol (11-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1_c --> avite1r_c + hpepe11_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
389	TMNDNCROO12AVITE1RT	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol radical (12-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1r_c + h2o_c --> avite1qn_c + hpepe12_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
390	TMNDNCROO12AVITE1T	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol (12-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1_c --> avite1r_c + hpepe12_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
391	TMNDNCROO15AVITE1RT	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol radical (15-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1r_c + h2o_c --> avite1qn_c + hpepe15_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
392	TMNDNCROO15AVITE1T	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol (15-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1_c --> avite1r_c + hpepe15_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
393	TMNDNCROO18AVITE1RT	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol radical (18-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1r_c + h2o_c --> avite1qn_c + hpepe18_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
394	TMNDNCROO18AVITE1T	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol (18-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1_c --> avite1r_c + hpepe18_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
395	TMNDNCROO5AVITE1RT	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol radical (5-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1r_c + h2o_c --> avite1qn_c + hpepe5_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
396	TMNDNCROO5AVITE1T	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol (5-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1_c --> avite1r_c + hpepe5_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
397	TMNDNCROO8AVITE1RT	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol radical (8-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1r_c + h2o_c --> avite1qn_c + hpepe8_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
398	TMNDNCROO8AVITE1T	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol (8-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1_c --> avite1r_c + hpepe8_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
399	TMNDNCROO9AVITE1RT	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol radical (9-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1r_c + h2o_c --> avite1qn_c + hpepe9_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
400	TMNDNCROO9AVITE1T	Termination of eicosapentaenoate peroxyl radical via alpha-tocopherol (9-HPEPE forming)	FA_hs_20_5Z8Z11Z14Z17Zroo_c + avite1_c --> avite1r_c + hpepe9_c		Eicosapentaenoic acid metabolism	1		pubmed:1146729;pubmed:16456225;pubmed:18243141;pubmed:35660300;pubmed:36643550;pubmed:8109730;pubmed:8632114;pubmed:9164668	
401	23E1QN1GST	Glutathione:estrone-2,3-quinone S-transferase	estrone23qn_c + gthrd_c <=> 1sgth2hoxe1_c	GSTM3 or GSTM1 or GSTT1 or GSTP1 or GSTA2 or GSTO1 or LANCL1 or GSTM4 or MGST2 or GSTM2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (5);GSTM3 (13);GSTM4 (1);GSTO1 (19);GSTP1 (12);GSTT1 (10);LANCL1 (12);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738	
402	23E1QN4GST	Glutathione:estrone-2,3-quinone S-transferase	estrone23qn_c + gthrd_c <=> 4sgth2hoxe1_c	GSTM3 or GSTM1 or GSTT1 or GSTP1 or GSTA2 or GSTO1 or LANCL1 or GSTM4 or MGST2 or GSTM2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (5);GSTM3 (13);GSTM4 (1);GSTO1 (19);GSTP1 (12);GSTT1 (10);LANCL1 (12);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738	
403	23E1SQOX	Oxidation of estrone-2,3 semiquinone	estrone23sqn_c + o2_c --> estrone23qn_c + h_c + o2s_c		Estrogen metabolism	1		pubmed:11559542;pubmed:1398218;pubmed:20493944;pubmed:32846902;pubmed:34406011;pubmed:9380738	
404	23E2QN1GST	Glutathione:17beta-estradiol-2,3-quinone S-transferase	estradiol23qn_c + gthrd_c <=> 1sgth2hoxe2_c	GSTM3 or GSTM1 or GSTT1 or GSTP1 or GSTA2 or GSTO1 or LANCL1 or GSTM4 or MGST2 or GSTM2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (5);GSTM3 (13);GSTM4 (1);GSTO1 (19);GSTP1 (12);GSTT1 (10);LANCL1 (12);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738	
405	23E2QN4GST	Glutathione:17beta-estradiol-2,3-quinone S-transferase	estradiol23qn_c + gthrd_c <=> 4sgth2hoxe2_c	GSTM3 or GSTM1 or GSTT1 or GSTP1 or GSTA2 or GSTO1 or LANCL1 or GSTM4 or MGST2 or GSTM2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (5);GSTM3 (13);GSTM4 (1);GSTO1 (19);GSTP1 (12);GSTT1 (10);LANCL1 (12);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738	
406	23E2SQOX	Oxidation of 17beta-estradiol-2,3-semiquinone	estradiol23sqn_c + o2_c --> estradiol23qn_c + h_c + o2s_c		Estrogen metabolism	1		pubmed:11559542;pubmed:1398218;pubmed:20493944;pubmed:32846902;pubmed:34406011;pubmed:9380738	
407	2OHE1MT	S-Adenosyl-L-methionine:2-hydroxyestrone O-methyltransferase (2-OH)	2hoxe1_c + amet__L_c --> 2mtoxe1_c + ahcys__L_c + h_c	COMT	Estrogen metabolism	0	COMT (6)	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090	
408	2OHE1MT2	S-Adenosyl-L-methionine:2-hydroxyestrone O-methyltransferase (3-OH)	2hoxe1_c + amet__L_c --> 2hox3mtoxe1_c + ahcys__L_c + h_c	COMT	Estrogen metabolism	0	COMT (6)	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090	
409	2OHE1PX	2-hydroxyestrone:hydrogen-peroxide oxidoreductase	2.0 2hoxe1_c + h2o2_c --> 2.0 estrone23sqn_c + 2.0 h2o_c	PRDX6	Estrogen metabolism	0	PRDX6 (20)	pubmed:11559542;pubmed:1398218;pubmed:32846902;pubmed:34406011;pubmed:9380738	
410	2OHE2MT	S-Adenosyl-L-methionine:2-hydroxy-17beta-estradiol O-methyltransferase (2-OH)	2hoxe2_c + amet__L_c --> 2mtoxe2_c + ahcys__L_c + h_c	COMT	Estrogen metabolism	0	COMT (6)	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090	
411	2OHE2MT2	S-Adenosyl-L-methionine:2-hydroxy-17beta-estradiol O-methyltransferase (3-OH)	2hoxe2_c + amet__L_c --> 2hox3mtoxe2_c + ahcys__L_c + h_c	COMT	Estrogen metabolism	0	COMT (6)	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090	
412	2OHE2PX	2-hydroxyestradiol-17beta:hydrogen-peroxide oxidoreductase	2.0 2hoxe2_c + h2o2_c --> 2.0 estradiol23sqn_c + 2.0 h2o_c	PRDX6	Estrogen metabolism	0	PRDX6 (20)	pubmed:11559542;pubmed:1398218;pubmed:32846902;pubmed:34406011;pubmed:9380738	
413	34E1QN2GST	Glutathione:estrone-3,4-quinone S-transferase	estrone34qn_c + gthrd_c <=> 2sgth4hoxe1_c	GSTM3 or GSTM1 or GSTT1 or GSTP1 or GSTA2 or GSTO1 or LANCL1 or GSTM4 or MGST2 or GSTM2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (5);GSTM3 (13);GSTM4 (1);GSTO1 (19);GSTP1 (12);GSTT1 (10);LANCL1 (12);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738	
414	34E1SQOX	Oxidation of estrone-3,4-semiquinone	estrone34sqn_c + o2_c --> estrone34qn_c + h_c + o2s_c		Estrogen metabolism	1		pubmed:11559542;pubmed:1398218;pubmed:20493944;pubmed:32846902;pubmed:34406011;pubmed:9380738	
415	34E2QN2GST	Glutathione:17beta-estradiol-3,4-quinone S-transferase	estradiol34qn_c + gthrd_c <=> 2sgth4hoxe2_c	GSTM3 or GSTM1 or GSTT1 or GSTP1 or GSTA2 or GSTO1 or LANCL1 or GSTM4 or MGST2 or GSTM2	Estrogen metabolism	0	GSTA2 (1);GSTM1 (2);GSTM2 (5);GSTM3 (13);GSTM4 (1);GSTO1 (19);GSTP1 (12);GSTT1 (10);LANCL1 (12);MGST2 (5)	pubmed:11559542;pubmed:15294349;pubmed:17651993;pubmed:34406011;pubmed:9380738	
416	34E2SQOX	Oxidation of 17beta-estradiol-3,4-semiquinone	estradiol34sqn_c + o2_c --> estradiol34qn_c + h_c + o2s_c		Estrogen metabolism	1		pubmed:11559542;pubmed:1398218;pubmed:20493944;pubmed:32846902;pubmed:34406011;pubmed:9380738	
417	4OHE1MT	S-Adenosyl-L-methionine:4-hydroxyestrone O-methyltransferase	4hoxe1_c + amet__L_c --> 4mtoxe1_c + ahcys__L_c + h_c	COMT	Estrogen metabolism	0	COMT (6)	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738;pubmed:9432090	
418	4OHE1PX	4-hydroxyestrone:hydrogen-peroxide oxidoreductase	2.0 4hoxe1_c + h2o2_c --> 2.0 estrone34sqn_c + 2.0 h2o_c	PRDX6	Estrogen metabolism	0	PRDX6 (20)	pubmed:11559542;pubmed:1398218;pubmed:32846902;pubmed:34406011;pubmed:9380738;pubmed:9432090	
419	4OHE2MT	S-Adenosyl-L-methionine:4-hydroxy-17beta-estradiol O-methyltransferase	4hoxe2_c + amet__L_c --> 4mtoxe2_c + ahcys__L_c + h_c	COMT	Estrogen metabolism	0	COMT (6)	pubmed:10410961;pubmed:11559542;pubmed:34406011;pubmed:455720;pubmed:9380738	
420	4OHE2PX	4-hydroxyestradiol-17beta:hydrogen-peroxide oxidoreductase	2.0 4hoxe2_c + h2o2_c --> 2.0 estradiol34sqn_c + 2.0 h2o_c	PRDX6	Estrogen metabolism	0	PRDX6 (20)	pubmed:11559542;pubmed:1398218;pubmed:32846902;pubmed:34406011;pubmed:9380738	
421	ESTRADIOL23Q1ERx	17beta-estradiol-2,3-quinone:NADH reductase (1e-)	2.0 estradiol23qn_c + h_c + nadh_c --> 2.0 estradiol23sqn_c + nad_c	CYB5R3 or (CYB5R3 and CYB5B) or (CYB5R3 and CYB5A)	Estrogen metabolism	0	CYB5A (9);CYB5B (8);CYB5R3 (20)	pubmed:1897935;pubmed:30222979;pubmed:34406011	
422	ESTRADIOL23Q2ERy	17beta-estradiol-2,3-quinone:NADPH reductase (2e-)	estradiol23qn_c + h_c + nadph_c --> 2hoxe2_c + nadp_c	AKR7A2 or AKR1B1 or AKR1C3	Estrogen metabolism	0	AKR1B1 (10);AKR1C3 (11);AKR7A2 (15)	pubmed:21910479;pubmed:34406011	
423	ESTRADIOL23Q2ERz	17beta-estradiol-2,3-quinone:NADPH reductase (2e-)	estradiol23qn_c + h_c + rnamh_c --> 2hoxe2_c + rnam_c	NQO2	Estrogen metabolism	0	NQO2 (12)	pubmed:11559542;pubmed:18996184;pubmed:32913139;pubmed:34406011;pubmed:9380738	
424	ESTRADIOL23SQDP	Disproportionation of estradiol-2,3-semiquinone	2.0 estradiol23sqn_c --> 2hoxe2_c + estradiol23qn_c		Estrogen metabolism	1		pubmed:1398218;pubmed:20493944;pubmed:32846902	Disproportionation of radicals is spontaneous
425	ESTRADIOL2OXRx	17beta-estradiol, NADH:oxygen oxidoreductase	estradiol_c + h_c + nadh_c + o2_c --> 2hoxe2_c + h2o_c + nad_c		Estrogen metabolism	0		pubmed:34406011	GAPFILLING
426	ESTRADIOL2OXRy	17beta-estradiol, NADPH:oxygen oxidoreductase	estradiol_c + h_c + nadph_c + o2_c --> 2hoxe2_c + h2o_c + nadp_c		Estrogen metabolism	0		pubmed:34406011	GAPFILLING
427	ESTRADIOL34Q1ERx	17beta-estradiol-3,4-quinone:NADH reductase (1e-)	2.0 estradiol34qn_c + h_c + nadh_c --> 2.0 estradiol34sqn_c + nad_c	CYB5R3 or (CYB5R3 and CYB5B) or (CYB5R3 and CYB5A)	Estrogen metabolism	0	CYB5A (9);CYB5B (8);CYB5R3 (20)	pubmed:1897935;pubmed:30222979;pubmed:34406011	
428	ESTRADIOL34Q2ERy	17beta-estradiol-3,4-quinone:NADPH reductase (2e-)	estradiol34qn_c + h_c + nadph_c --> 4hoxe2_c + nadp_c	AKR7A2 or AKR1B1 or AKR1C3	Estrogen metabolism	0	AKR1B1 (10);AKR1C3 (11);AKR7A2 (15)	pubmed:21910479;pubmed:34406011	
429	ESTRADIOL34Q2ERz	17beta-estradiol-3,4-quinone:NADPH reductase (2e-)	estradiol34qn_c + h_c + rnamh_c --> 4hoxe2_c + rnam_c	NQO2	Estrogen metabolism	0	NQO2 (12)	pubmed:11559542;pubmed:18996184;pubmed:32913139;pubmed:34406011;pubmed:9380738	
430	ESTRADIOL34SQDP	Disproportionation of estradiol-3,4-semiquinone	2.0 estradiol34sqn_c --> 4hoxe2_c + estradiol34qn_c		Estrogen metabolism	1		pubmed:1398218;pubmed:20493944;pubmed:32846902	Disproportionation of radicals is spontaneous
431	ESTRADIOL4OXRx	17beta-estradiol, NADH:oxygen oxidoreductase	estradiol_c + h_c + nadh_c + o2_c --> 4hoxe2_c + h2o_c + nad_c		Estrogen metabolism	0		pubmed:34406011	GAPFILLING
432	ESTRADIOL4OXRy	17beta-estradiol, NADPH:oxygen oxidoreductase	estradiol_c + h_c + nadph_c + o2_c --> 4hoxe2_c + h2o_c + nadp_c		Estrogen metabolism	0		pubmed:34406011	GAPFILLING
433	ESTRONE23Q1ERx	Estrone-2,3-quinone:NADH reductase reductase (1e-)	2.0 estrone23qn_c + h_c + nadh_c --> 2.0 estrone23sqn_c + nad_c	CYB5R3 or (CYB5R3 and CYB5B) or (CYB5R3 and CYB5A)	Estrogen metabolism	0	CYB5A (9);CYB5B (8);CYB5R3 (20)	pubmed:1897935;pubmed:30222979;pubmed:34406011	
434	ESTRONE23Q2ERy	Estrone-2,3-quinone:NADPH reductase (2e-)	estrone23qn_c + h_c + nadph_c --> 2hoxe1_c + nadp_c	AKR7A2 or AKR1B1 or AKR1C3	Estrogen metabolism	0	AKR1B1 (10);AKR1C3 (11);AKR7A2 (15)	pubmed:21910479;pubmed:34406011	
435	ESTRONE23Q2ERz	Estrone-2,3-quinone:NADPH reductase (2e-)	estrone23qn_c + h_c + rnamh_c --> 2hoxe1_c + rnam_c	NQO2	Estrogen metabolism	0	NQO2 (12)	pubmed:11559542;pubmed:18996184;pubmed:32913139;pubmed:34406011;pubmed:9380738	
