complexes	complex	subunits	reactions	genes	coefficients	cofactors	notes	stoichiometry	compartment	molar_mass
cplx_MONOMER_ALDH3B1_pc	cplx_MONOMER_ALDH3B1	protein_ALDH3B1_pc	ALDD2x;BAMPPALDOXx;4H2HXEAL2EDHx;4H2NNEAL2EDHx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;RBTDG_Dx;34DHALDDx;34DHALDDy;3M4HDXPACx;3M4HDXPACy;ALDD19x;ALDD19y;ALDD2y;LCAD;HXDCAL2EDHx;HXDCAL2EDHy;HXDCALDHx;HXDCALDHy;MACOXO;34DHXMANDACOXx;34DHXMANDACOXy;4HOXPACDORx;4HOXPACDORy	ALDH3B1	1		ASSUMED MONOMER	protein_ALDH3B1_pc(1)	pc	51840.25600000023
cplx_HOMOTETRAMER_ALDH9A1_pc	cplx_HOMOTETRAMER_ALDH9A1	protein_ALDH9A1_pc	ALDD2x;ABUTDx;BAMPPALDOXx;NABTNO;GLYALDD;BETALDDHx;TMABADH;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;5HOXINDACTOX;GLACOx;IMACTD;ALDD20x;MMALNDHx	ALDH9A1	4			protein_ALDH9A1_pc(4)	pc	215185.7240000008
cplx_HOMOTETRAMER_ALDOA_pc	cplx_HOMOTETRAMER_ALDOA	protein_ALDOA_pc	FBA;FBA2;FBA3;FBA6	ALDOA	4			protein_ALDOA_pc(4)	pc	157690.74000000028
cplx_HOMOTETRAMER_ALDOB_pc	cplx_HOMOTETRAMER_ALDOB	protein_ALDOB_pc	FBA;FBA2;FBA3;FBA6	ALDOB	4			protein_ALDOB_pc(4)	pc	157898.80000000037
cplx_HOMOTETRAMER_ALDOC_pc	cplx_HOMOTETRAMER_ALDOC	protein_ALDOC_pc	FBA;FBA2;FBA3;FBA6	ALDOC	4			protein_ALDOC_pc(4)	pc	157813.94400000048
cplx_HOMODIMER_ALPL_pc	cplx_HOMODIMER_ALPL	protein_ALPL_pc	AHDTPPPH;ALKP;CRTNP;THMMPP;CRTNPe;ETHPe;NDPADPe;NTDAMPe;NTPAe;PPAe;PYDXPPe;THMMPPe	ALPL	2		ASSUMED MONOMER	protein_ALPL_pc(2)	pc	114590.49800000053
cplx_MONOMER_AMDHD2_pc	cplx_MONOMER_AMDHD2	protein_AMDHD2_pc	AGDC	AMDHD2	1		ASSUMED MONOMER	protein_AMDHD2_pc(1)	pc	43740.42900000013
cplx_HOMOTETRAMER_AMPD3_pc	cplx_HOMOTETRAMER_AMPD3	protein_AMPD3_pc	AMPDA	AMPD3	4			protein_AMPD3_pc(4)	pc	355217.6719999995
cplx_MONOMER_ANKH_pc	cplx_MONOMER_ANKH	protein_ANKH_pc	ATPte;CITt	ANKH	1		ASSUMED MONOMER	protein_ANKH_pc(1)	pc	54242.50700000017
cplx_HOMODIMER_ANO6_pc	cplx_HOMODIMER_ANO6	protein_ANO6_pc	PCSCRt;PSSCRt;LPCSCRt	ANO6	2			protein_ANO6_pc(2)	pc	212334.0119999995
cplx_HOMOTETRAMER_APEH_pc	cplx_HOMOTETRAMER_APEH	protein_APEH_pc	ACMAH	APEH	4			protein_APEH_pc(4)	pc	324802.5760000005
cplx_HOMOTETRAMER_APIP_pc	cplx_HOMOTETRAMER_APIP	protein_APIP_pc	MDRPD	APIP	4			protein_APIP_pc(4)	pc	108496.24800000004
cplx_HOMODIMER_APRT_pc	cplx_HOMODIMER_APRT	protein_APRT_pc	ADPT;AICRT	APRT	2			protein_APRT_pc(2)	pc	39211.127999999975
cplx_HOMOTETRAMER_AQP1_pc	cplx_HOMOTETRAMER_AQP1	protein_AQP1_pc	CO2t;H2Ot;O2t;NH3t;NOt;O2St;NH4t	AQP1	4			protein_AQP1_pc(4)	pc	114102.988
cplx_HOMOTETRAMER_AQP3_pc	cplx_HOMOTETRAMER_AQP3	protein_AQP3_pc	H2Ot;GLYCt;ARSNIt;NH3t;NH4t	AQP3	4			protein_AQP3_pc(4)	pc	126170.10800000005
cplx_MONOMER_ARF1_pc	cplx_MONOMER_ARF1	protein_ARF1_pc	NTPG	ARF1	1		ASSUMED MONOMER	protein_ARF1_pc(1)	pc	20695.57299999998
cplx_MONOMER_ARF6_pc	cplx_MONOMER_ARF6	protein_ARF6_pc	NTPG	ARF6	1		ASSUMED MONOMER	protein_ARF6_pc(1)	pc	20086.010999999988
cplx_HOMOTRIMER_ARG1_pc	cplx_HOMOTRIMER_ARG1	protein_ARG1_pc	ARGN	ARG1	3			protein_ARG1_pc(3)	pc	106988.169
cplx_MONOMER_ARMT1_pc	cplx_MONOMER_ARMT1	protein_ARMT1_pc	E4PP;F1PP;F6PP;GAPP;PROTGMT;R5PP	ARMT1	1			protein_ARMT1_pc(1)	pc	51155.70100000009
cplx_MONOMER_ART4_pc	cplx_MONOMER_ART4	protein_ART4_pc	PROTRADPRTe	ART4	1		ASSUMED MONOMER	protein_ART4_pc(1)	pc	35888.354
cplx_HOMOTETRAMER_ASL_pc	cplx_HOMOTETRAMER_ASL	protein_ASL_pc	ARGSL	ASL	4			protein_ASL_pc(4)	pc	206605.90000000084
cplx_COMPLEX_PIK3C3_ATG14_pc	cplx_COMPLEX_PIK3C3_ATG14	protein_ATG14_pc;protein_BECN1_pc;protein_PIK3C3_pc;protein_PIK3R4_pc	PI3K	ATG14;BECN1;PIK3C3;PIK3R4	1;1			protein_ATG14_pc(1);protein_BECN1_pc(1)	pc	107178.48600000032
cplx_HOMODIMER_ATIC_pc	cplx_HOMODIMER_ATIC	protein_ATIC_pc	AICART;IMPC	ATIC	2			protein_ATIC_pc(2)	pc	129220.48000000059
cplx_HETERODIMER_ATP11A_TMEM30A_pc	cplx_HETERODIMER_ATP11A_TMEM30A	protein_ATP11A_pc;protein_TMEM30A_pc	PEFLIPt;PSFLIPt	ATP11A;TMEM30A	1;1			protein_ATP11A_pc(1);protein_TMEM30A_pc(1)	pc	170432.83099999942
cplx_HETERODIMER_ATP11B_TMEM30A_pc	cplx_HETERODIMER_ATP11B_TMEM30A	protein_ATP11B_pc;protein_TMEM30A_pc	PEFLIPt;PSFLIPt	ATP11B;TMEM30A	1;1			protein_ATP11B_pc(1);protein_TMEM30A_pc(1)	pc	174870.89699999936
cplx_HETERODIMER_ATP11C_TMEM30A_pc	cplx_HETERODIMER_ATP11C_TMEM30A	protein_ATP11C_pc;protein_TMEM30A_pc	PEFLIPt;PSFLIPt	ATP11C;TMEM30A	1;1			protein_ATP11C_pc(1);protein_TMEM30A_pc(1)	pc	170157.2829999995
cplx_HETERODIMER_ATP1_A1B1_pc	cplx_HETERODIMER_ATP1_A1B1	protein_ATP1A1_pc;protein_ATP1B1_pc	NaKt	ATP1A1;ATP1B1	1;1			protein_ATP1A1_pc(1);protein_ATP1B1_pc(1)	pc	147938.9609999996
cplx_HETERODIMER_ATP1_A1B2_pc	cplx_HETERODIMER_ATP1_A1B2	protein_ATP1A1_pc;protein_ATP1B2_pc	NaKt	ATP1A1;ATP1B2	1;1			protein_ATP1A1_pc(1);protein_ATP1B2_pc(1)	pc	146242.7379999996
cplx_HETERODIMER_ATP1_A1B3_pc	cplx_HETERODIMER_ATP1_A1B3	protein_ATP1A1_pc;protein_ATP1B3_pc	NaKt	ATP1A1;ATP1B3	1;1			protein_ATP1A1_pc(1);protein_ATP1B3_pc(1)	pc	144388.26499999964
cplx_HETERODIMER_ATP1_A3B1_pc	cplx_HETERODIMER_ATP1_A3B1	protein_ATP1A3_pc;protein_ATP1B1_pc	NaKt	ATP1A3;ATP1B1	1;1			protein_ATP1A3_pc(1);protein_ATP1B1_pc(1)	pc	146788.41399999964
cplx_HETERODIMER_ATP1_A3B2_pc	cplx_HETERODIMER_ATP1_A3B2	protein_ATP1A3_pc;protein_ATP1B2_pc	NaKt	ATP1A3;ATP1B2	1;1			protein_ATP1A3_pc(1);protein_ATP1B2_pc(1)	pc	145092.19099999964
cplx_HETERODIMER_ATP1_A3B3_pc	cplx_HETERODIMER_ATP1_A3B3	protein_ATP1A3_pc;protein_ATP1B3_pc	NaKt	ATP1A3;ATP1B3	1;1			protein_ATP1A3_pc(1);protein_ATP1B3_pc(1)	pc	143237.71799999967
cplx_HETERODIMER_ATP1_A4B1_pc	cplx_HETERODIMER_ATP1_A4B1	protein_ATP1A4_pc;protein_ATP1B1_pc	NaKt	ATP1A4;ATP1B1	1;1			protein_ATP1A4_pc(1);protein_ATP1B1_pc(1)	pc	149225.44899999956
cplx_HETERODIMER_ATP1_A4B2_pc	cplx_HETERODIMER_ATP1_A4B2	protein_ATP1A4_pc;protein_ATP1B2_pc	NaKt	ATP1A4;ATP1B2	1;1			protein_ATP1A4_pc(1);protein_ATP1B2_pc(1)	pc	147529.22599999956
cplx_HETERODIMER_ATP1_A4B3_pc	cplx_HETERODIMER_ATP1_A4B3	protein_ATP1A4_pc;protein_ATP1B3_pc	NaKt	ATP1A4;ATP1B3	1;1			protein_ATP1A4_pc(1);protein_ATP1B3_pc(1)	pc	145674.75299999956
cplx_MONOMER_ATP2B1_pc	cplx_MONOMER_ATP2B1	protein_ATP2B1_pc	CAATPS1	ATP2B1	1			protein_ATP2B1_pc(1)	pc	134663.38699999952
cplx_MONOMER_ATP2B4_pc	cplx_MONOMER_ATP2B4	protein_ATP2B4_pc	CAATPS1	ATP2B4	1			protein_ATP2B4_pc(1)	pc	137909.84299999927
cplx_COMPLEX_ATP6V0V1_pc	cplx_COMPLEX_ATP6V0V1	protein_ATP6AP1_pc;protein_ATP6AP2_pc;protein_ATP6V0A1_pc;protein_ATP6V0B_pc;protein_ATP6V0C_pc;protein_ATP6V0D1_pc;protein_ATP6V0E1_pc;protein_ATP6V1A_pc;protein_ATP6V1B2_pc;protein_ATP6V1C1_pc;protein_ATP6V1D_pc;protein_ATP6V1E1_pc;protein_ATP6V1F_pc;protein_ATP6V1G1_pc;protein_ATP6V1H_pc	VATPASEte	ATP6AP1;ATP6AP2;ATP6V0A1;ATP6V0B;ATP6V0C;ATP6V0D1;ATP6V0E1;ATP6V1A;ATP6V1B2;ATP6V1C1;ATP6V1D;ATP6V1E1;ATP6V1F;ATP6V1G1;ATP6V1H	1;9;3			protein_ATP6AP1_pc(1);protein_ATP6AP2_pc(9);protein_ATP6V0A1_pc(3)	pc	692243.9510000005
cplx_MONOMER_ATP7A_pc	cplx_MONOMER_ATP7A	protein_ATP7A_pc	CU1ABCte	ATP7A	1			protein_ATP7A_pc(1)	pc	163349.21499999875
cplx_MONOMER_ATP7B_pc	cplx_MONOMER_ATP7B	protein_ATP7B_pc	CU1ABCte	ATP7B	1			protein_ATP7B_pc(1)	pc	157247.23499999868
cplx_MONOMER_B3GALNT1_pc	cplx_MONOMER_B3GALNT1	protein_B3GALNT1_pc	B3GALNT1c	B3GALNT1	1		ASSUMED MONOMER	protein_B3GALNT1_pc(1)	pc	39512.51600000004
cplx_HOMOTETRAMER_BHMT_pc	cplx_HOMOTETRAMER_BHMT	protein_BHMT_pc	BHMT	BHMT	4			protein_BHMT_pc(4)	pc	179984.24800000034
cplx_MONOMER_BLVRA_pc	cplx_MONOMER_BLVRA	protein_BLVRA_pc	BILIREDy;BILIREDx	BLVRA	1			protein_BLVRA_pc(1)	pc	33424.15399999999
cplx_MONOMER_BLVRB_pc	cplx_MONOMER_BLVRB	protein_BLVRB_pc	BILIREDy;BILIREDx;FADRy;FLVRy;FMNRy;PROTCSNOCOANT	BLVRB	1			protein_BLVRB_pc(1)	pc	22119.151999999987
cplx_MONOMER_BMP2K_pc	cplx_MONOMER_BMP2K	protein_BMP2K_pc	PROTSK;PROTTK	BMP2K	1		ASSUMED MONOMER	protein_BMP2K_pc(1)	pc	129148.14999999962
cplx_HOMODIMER_BPGM_pc	cplx_HOMODIMER_BPGM	protein_BPGM_pc	DPGM;DPGase;PGM	BPGM	2			protein_BPGM_pc(2)	pc	60001.79600000003
cplx_MONOMER_BPNT1_pc	cplx_MONOMER_BPNT1	protein_BPNT1_pc	MI14P1PP;BPNT;BPNT2	BPNT1	1		ASSUMED MONOMER	protein_BPNT1_pc(1)	pc	33384.98100000002
cplx_HETEROTETRAMER_SLC16A1_BSG_pc	cplx_HETEROTETRAMER_SLC16A1_BSG	protein_BSG_pc;protein_SLC16A1_pc	ACt2;D_LACt2;L_LACt2;PYRt2;2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;3MOBt2;4MOPt2	BSG;SLC16A1	2;2			protein_BSG_pc(2);protein_SLC16A1_pc(2)	pc	192279.28200000056
cplx_HETEROTETRAMER_SLC16A7_BSG_pc	cplx_HETEROTETRAMER_SLC16A7_BSG	protein_BSG_pc;protein_SLC16A7_pc	ACt2;D_LACt2;L_LACt2;PYRt2;2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;3MOBt2;4MOPt2	BSG;SLC16A7	2;2			protein_BSG_pc(2);protein_SLC16A7_pc(2)	pc	188801.5440000006
cplx_COMPLEX_C1GALT1_C1GALT1C1_pc	cplx_COMPLEX_C1GALT1_C1GALT1C1	protein_C1GALT1C1_pc;protein_C1GALT1_pc	PROTKTnAgGALT;PROTSTnAgGALT	C1GALT1;C1GALT1C1	2;1			protein_C1GALT1C1_pc(2);protein_C1GALT1_pc(1)	pc	114951.73500000019
cplx_MONOMER_CA1_pc	cplx_MONOMER_CA1	protein_CA1_pc	HCO3E;UREAHYDL	CA1	1		ASSUMED MONOMER	protein_CA1_pc(1)	pc	28867.910000000014
cplx_MONOMER_CA2_pc	cplx_MONOMER_CA2	protein_CA2_pc	HCO3E;UREAHYDL	CA2	1		ASSUMED MONOMER	protein_CA2_pc(1)	pc	29244.751000000022
cplx_MONOMER_CA3_pc	cplx_MONOMER_CA3	protein_CA3_pc	HCO3E;UREAHYDL	CA3	1		ASSUMED MONOMER	protein_CA3_pc(1)	pc	29556.14100000001
cplx_MONOMER_CA4_pc	cplx_MONOMER_CA4	protein_CA4_pc	HCO3Ee	CA4	1			protein_CA4_pc(1)	pc	35033.02600000004
cplx_HETEROTRIMER_STK11_CAB39_STRADB_pc	cplx_HETEROTRIMER_STK11_CAB39_STRADB	protein_CAB39_pc;protein_STK11_pc;protein_STRADB_pc	PROTSK;PROTTK	CAB39;STK11;STRADB	1;1;1			protein_CAB39_pc(1);protein_STK11_pc(1);protein_STRADB_pc(1)	pc	135523.94400000022
cplx_HETEROTRIMER_STK11_CAB39L_STRADB_pc	cplx_HETEROTRIMER_STK11_CAB39L_STRADB	protein_CAB39L_pc;protein_STK11_pc;protein_STRADB_pc	PROTSK;PROTTK	CAB39L;STK11;STRADB	1;1;1			protein_CAB39L_pc(1);protein_STK11_pc(1);protein_STRADB_pc(1)	pc	134747.5350000002
cplx_MONOMER_CACNA1A_pc	cplx_MONOMER_CACNA1A	protein_CACNA1A_pc	CA2t	CACNA1A	1			protein_CACNA1A_pc(1)	pc	282593.60299999797
cplx_HOMOHEXAMER_CAD_pc	cplx_HOMOHEXAMER_CAD	protein_CAD_pc	ASPCT;DHORTS	CAD	6			protein_CAD_pc(6)	pc	1457677.475999984
cplx_COMPLEX_RBX1_SKP1_CUL1_CAND1_NEDD8_pc	cplx_COMPLEX_RBX1_SKP1_CUL1_CAND1_NEDD8	protein_CAND1_pc;protein_CUL1_pc;protein_NEDD8_pc;protein_RBX1_pc;protein_SKP1_pc	NEDD8E2CONJT	CAND1;CUL1;NEDD8;RBX1;SKP1	1;1;1;1;1			protein_CAND1_pc(1);protein_CUL1_pc(1);protein_NEDD8_pc(1);protein_RBX1_pc(1);protein_SKP1_pc(1)	pc	266014.157999999
cplx_HOMODIMER_CARM1_pc	cplx_HOMODIMER_CARM1	protein_CARM1_pc	PRMTMMA;PRMTSDMA	CARM1	2			protein_CARM1_pc(2)	pc	131692.1440000007
cplx_HOMODIMER_CARS1_pc	cplx_HOMODIMER_CARS1	protein_CARS1_pc	CYSTRS	CARS1	2			protein_CARS1_pc(2)	pc	170931.04800000004
cplx_HOMOTETRAMER_CAT_pc	cplx_HOMOTETRAMER_CAT	protein_CAT_pc	CAT;56DHIPX;ADRNLPX_L;DOPAPX_L;DPAMPX_L;LADRNCHRPX;LDPAMCHRPX;LDPCHRPX_L;LNRPPHRCHRPX;NRPPHRPX_L;MEOHP	CAT	4			protein_CAT_pc(4)	pc	239014.28800000082
cplx_MONOMER_CBR1_pc	cplx_MONOMER_CBR1	protein_CBR1_pc	6PTHPDH;SPPTDH;MNDN2ERy;ADRNCHR2ERy;ADRNLQ2ERy_L;DOPAQ2ERy_L;DPAMCHR2ERy;DPAMQ2ERy_L;DPCHR2ERy_L;IND56Q2ERy;NRPPHRCHR2ERy;NRPPHRQ2ERy_L;PGE1DHy;PGE1Ry;PGE2DHy;PGE2Ry;PGE3DHy;PGE3Ry;PGF1DHy;PGF2DHy;PGF3DHy;GTHNORDy;CRTSLRy;CRTSTRNRy	CBR1	1			protein_CBR1_pc(1)	pc	30377.687000000013
cplx_MONOMER_CBR3_pc	cplx_MONOMER_CBR3	protein_CBR3_pc	ADRNCHR2ERy;ADRNLQ2ERy_L;DOPAQ2ERy_L;DPAMCHR2ERy;DPAMQ2ERy_L;DPCHR2ERy_L;IND56Q2ERy;NRPPHRCHR2ERy;NRPPHRQ2ERy_L	CBR3	1			protein_CBR3_pc(1)	pc	30845.960000000025
cplx_MONOMER_CD36_pc	cplx_MONOMER_CD36	protein_CD36_pc	FAt_16_0;FAt_18_9Z12Z;FAt_18_9Z;FAt_16_2E;FAt_18_0;FAt_20_5Z8Z11Z14Z;FAt_hs_10_0;FAt_hs_11_0;FAt_hs_12_0;FAt_hs_13_0;FAt_hs_14_0;FAt_hs_14_5Z;FAt_hs_14_7Z;FAt_hs_14_9Z;FAt_hs_15_0;FAt_hs_16_7Z;FAt_hs_16_9Z;FAt_hs_17_0;FAt_hs_17_10Z;FAt_hs_17_9Z;FAt_hs_18_11Z;FAt_hs_18_13Z;FAt_hs_18_6Z9Z;FAt_hs_18_6Z9Z12Z;FAt_hs_18_6Z9Z12Z15Z;FAt_hs_18_7Z;FAt_hs_18_9E;FAt_hs_18_9Z12Z15Z;FAt_hs_19_0;FAt_hs_20_0;FAt_hs_20_11Z;FAt_hs_20_11Z14Z;FAt_hs_20_11Z14Z17Z;FAt_hs_20_13Z;FAt_hs_20_5Z8Z11Z;FAt_hs_20_5Z8Z11Z14Z17Z;FAt_hs_20_8Z11Z;FAt_hs_20_8Z11Z14Z;FAt_hs_20_8Z11Z14Z17Z;FAt_hs_20_9Z;FAt_hs_21_0;FAt_hs_22_0;FAt_hs_22_10Z13Z16Z;FAt_hs_22_10Z13Z16Z19Z;FAt_hs_22_11Z;FAt_hs_22_13Z;FAt_hs_22_13Z16Z;FAt_hs_22_13Z16Z19Z;FAt_hs_22_4Z7Z10Z13Z16Z;FAt_hs_22_4Z7Z10Z13Z16Z19Z;FAt_hs_22_7Z10Z13Z16Z;FAt_hs_22_7Z10Z13Z16Z19Z;FAt_hs_23_0;FAt_hs_24_0;FAt_hs_24_12Z15Z18Z21Z;FAt_hs_24_15Z;FAt_hs_24_6Z9Z12Z15Z18Z;FAt_hs_24_6Z9Z12Z15Z18Z21Z;FAt_hs_24_9Z12Z15Z18Z;FAt_hs_24_9Z12Z15Z18Z21Z;FAt_hs_26_0;FAt_hs_26_17Z;FAt_hs_4_0;FAt_hs_5_0;FAt_hs_6_0;FAt_hs_7_0;FAt_hs_8_0;FAt_hs_9_0	CD36	1		ASSUMED MONOMER	protein_CD36_pc(1)	pc	53055.902000000155
cplx_HOMODIMER_CD38_pc	cplx_HOMODIMER_CD38	protein_CD38_pc	NADPN;CADPRBPH;CADPRIBH;DNADPL;NADL;NADN;NADPL;NMNN;CADPRIBtec	CD38	2		ASSUMED MONOMER	protein_CD38_pc(2)	pc	68660.34600000003
cplx_MONOMER_CDC34_pc	cplx_MONOMER_CDC34	protein_CDC34_pc	UBIQE1E2T;UBIQE1T	CDC34	1			protein_CDC34_pc(1)	pc	26715.336000000007
cplx_HETEROTETRAMER_HSP90AA1_CDC37_pc	cplx_HETEROTETRAMER_HSP90AA1_CDC37	protein_CDC37_pc;protein_HSP90AA1_pc	NTPA	CDC37;HSP90AA1	2;2			protein_CDC37_pc(2);protein_HSP90AA1_pc(2)	pc	258134.83800000008
cplx_HETEROTETRAMER_HSP90AB1_CDC37_pc	cplx_HETEROTETRAMER_HSP90AB1_CDC37	protein_CDC37_pc;protein_HSP90AB1_pc	NTPA	CDC37;HSP90AB1	2;2			protein_CDC37_pc(2);protein_HSP90AB1_pc(2)	pc	255345.83600000007
cplx_MONOMER_CDC42_pc	cplx_MONOMER_CDC42	protein_CDC42_pc	NTPG	CDC42	1		ASSUMED MONOMER	protein_CDC42_pc(1)	pc	21257.403
cplx_MONOMER_CDIPT_pc	cplx_MONOMER_CDIPT	protein_CDIPT_pc	CDIPT	CDIPT	1			protein_CDIPT_pc(1)	pc	23540.64099999999
cplx_MONOMER_CDK2_pc	cplx_MONOMER_CDK2	protein_CDK2_pc	PROTSK;PROTTK	CDK2	1		ASSUMED MONOMER	protein_CDK2_pc(1)	pc	33933.22200000003
cplx_MONOMER_CDK4_pc	cplx_MONOMER_CDK4	protein_CDK4_pc	PROTSK;PROTTK	CDK4	1		ASSUMED MONOMER	protein_CDK4_pc(1)	pc	33727.51100000003
cplx_MONOMER_CDK5_pc	cplx_MONOMER_CDK5	protein_CDK5_pc	PROTSK;PROTTK	CDK5	1		ASSUMED MONOMER	protein_CDK5_pc(1)	pc	33305.17300000002
cplx_MONOMER_CDK6_pc	cplx_MONOMER_CDK6	protein_CDK6_pc	PROTSK;PROTTK	CDK6	1		ASSUMED MONOMER	protein_CDK6_pc(1)	pc	36932.97500000006
cplx_HOMODIMER_CDS2_pc	cplx_HOMODIMER_CDS2	protein_CDS2_pc	CDS	CDS2	2			protein_CDS2_pc(2)	pc	102830.95200000028
cplx_MONOMER_CFTR_pc	cplx_MONOMER_CFTR	protein_CFTR_pc	Clt	CFTR	1			protein_CFTR_pc(1)	pc	168159.15699999878
cplx_MONOMER_CHAC2_pc	cplx_MONOMER_CHAC2	protein_CHAC2_pc	GGCLUT2	CHAC2	1			protein_CHAC2_pc(1)	pc	20870.48299999999
cplx_HOMODIMER_CKB_pc	cplx_HOMODIMER_CKB	protein_CKB_pc	CK;CKe	CKB	2		ASSUMED MONOMER	protein_CKB_pc(2)	pc	85257.58600000023
cplx_HETERODIMER_CK_pc	cplx_HETERODIMER_CK	protein_CKB_pc;protein_CKM_pc	CK;CKe	CKB;CKM	1;1		ASSUMED MONOMER	protein_CKB_pc(1);protein_CKM_pc(1)	pc	85727.52000000022
cplx_HOMODIMER_CKM_pc	cplx_HOMODIMER_CKM	protein_CKM_pc	CK;CKe	CKM	2		ASSUMED MONOMER	protein_CKM_pc(2)	pc	86197.45400000023
cplx_MONOMER_CLCN2_pc	cplx_MONOMER_CLCN2	protein_CLCN2_pc	Clt;H_2Clt;It;NO3t	CLCN2	1		ASSUMED MONOMER	protein_CLCN2_pc(1)	pc	98543.6229999999
cplx_MONOMER_CLCN3_pc	cplx_MONOMER_CLCN3	protein_CLCN3_pc	H_2Clt	CLCN3	1		ASSUMED MONOMER	protein_CLCN3_pc(1)	pc	90954.35999999997
cplx_HETERODIMER_CLCN34_pc	cplx_HETERODIMER_CLCN34	protein_CLCN3_pc;protein_CLCN4_pc	H_2Clt	CLCN3;CLCN4	1;1			protein_CLCN3_pc(1);protein_CLCN4_pc(1)	pc	175866.39200000017
cplx_MONOMER_CLCN4_pc	cplx_MONOMER_CLCN4	protein_CLCN4_pc	H_2Clt	CLCN4	1			protein_CLCN4_pc(1)	pc	84912.03200000018
cplx_MONOMER_CLCN5_pc	cplx_MONOMER_CLCN5	protein_CLCN5_pc	H_2Clt	CLCN5	1			protein_CLCN5_pc(1)	pc	90772.31
cplx_MONOMER_CLIC1_pc	cplx_MONOMER_CLIC1	protein_CLIC1_pc	Clt;It;NO3t	CLIC1	1			protein_CLIC1_pc(1)	pc	26914.407
cplx_MONOMER_CLIC2_pc	cplx_MONOMER_CLIC2	protein_CLIC2_pc	Clt	CLIC2	1			protein_CLIC2_pc(1)	pc	28351.090000000022
cplx_MONOMER_CLIC3_pc	cplx_MONOMER_CLIC3	protein_CLIC3_pc	Clt	CLIC3	1			protein_CLIC3_pc(1)	pc	26644.19800000001
cplx_MONOMER_CLIC4_pc	cplx_MONOMER_CLIC4	protein_CLIC4_pc	Clt;It;NO3t	CLIC4	1			protein_CLIC4_pc(1)	pc	28766.81000000001
cplx_COMPLEX_PRMT5_WDR77_CLNS1A_pc	cplx_COMPLEX_PRMT5_WDR77_CLNS1A	protein_CLNS1A_pc;protein_PRMT5_pc;protein_WDR77_pc	PRMTMMA;PRMTSDMA	CLNS1A;PRMT5;WDR77	4;4;4			protein_CLNS1A_pc(4);protein_PRMT5_pc(4);protein_WDR77_pc(4)	pc	542199.0880000009
