reaction	genes	rho	pvalue	subsystem	category
THRTYRex	SLC3A2;SLC7A5	1.0	0.0	Transport, extracellular	Transport reactions
THRVALex	SLC3A2;SLC7A5	1.0	0.0	Transport, extracellular	Transport reactions
TRPTYRex	SLC3A2;SLC7A5	1.0	0.0	Transport, extracellular	Transport reactions
TRPVALex	SLC3A2;SLC7A5	1.0	0.0	Transport, extracellular	Transport reactions
TYRVALex	SLC3A2;SLC7A5	1.0	0.0	Transport, extracellular	Transport reactions
ALAADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ALAARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ALACITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ALALYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ALAMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ALAORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ASNADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ASNARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ASNCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ASNLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ASNMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ASNORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
CYSADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
CYSARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
CYSCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
CYSLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
CYSMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
CYSORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLNADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLNARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLNCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLNLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLNMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLNORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLYADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLYALANaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLYARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLYCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLYLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLYMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
GLYORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HCYSADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HCYSARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HCYSCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HCYSLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HCYSMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HCYSORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HISADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HISARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HISCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HISLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HISMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
HISORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ILEADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ILEARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ILECITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ILELYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ILEMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
ILEORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
LEUADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
LEUALANaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
LEUARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
LEUCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
LEULYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
LEUMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
LEUORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
METADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
METARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
METCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
METLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
METMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
METORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PHEADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PHEALANaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PHEARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PHECITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PHELYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PHEMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PHEORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PROADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PROARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PROCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PROLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PROMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
PROORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
SERADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
SERARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
SERCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
SERLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
SERMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
SERORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
THRADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
THRARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
THRCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
THRLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
THRMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
THRORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TRPADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TRPARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TRPCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TRPLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TRPMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TRPORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TYRADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TYRARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TYRCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TYRLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TYRMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
TYRORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
VALADMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
VALALANaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
VALARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
VALCITRNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
VALLYSNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
VALMMARGNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
VALORNNaEx	SLC3A2;SLC7A6	1.0	0.0	Transport, extracellular	Transport reactions
COBALT2te	SLC40A1	1.0	0.0	Transport, extracellular	Transport reactions
FE2t	SLC40A1	1.0	0.0	Transport, extracellular	Transport reactions
CHOLtec	SLC44A1;SLC44A2	1.0	0.0	Transport, extracellular	Transport reactions
CYS_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
Cl_OH1tex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
Cl_PItex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
FOR_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
GLXCLtex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
GLY_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
LLAC_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
NO2_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
NO3_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
O2S_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
ONOO_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
PYR_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
SELNI_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
SER_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
SH1_Cltex	SLC4A1	1.0	0.0	Transport, extracellular	Transport reactions
HCO3_Cltex	SLC4A1;SLC4A2	1.0	0.0	Transport, extracellular	Transport reactions
CREAT2NaClt	SLC6A8	1.0	0.0	Transport, extracellular	Transport reactions
GLY_Cl_2Nat	SLC6A9	1.0	0.0	Transport, extracellular	Transport reactions
PRO_Cl_2Nat	SLC6A9	1.0	0.0	Transport, extracellular	Transport reactions
SARCS_Cl_2Nat	SLC6A9	1.0	0.0	Transport, extracellular	Transport reactions
ADMARGt_L	SLC7A1	1.0	0.0	Transport, extracellular	Transport reactions
ARGtec	SLC7A1	1.0	0.0	Transport, extracellular	Transport reactions
LYStec	SLC7A1	1.0	0.0	Transport, extracellular	Transport reactions
MMARGt_L	SLC7A1	1.0	0.0	Transport, extracellular	Transport reactions
ORNtec	SLC7A1	1.0	0.0	Transport, extracellular	Transport reactions
KHtex	SLC9A6;SLC9A7	1.0	0.0	Transport, extracellular	Transport reactions
NaHtex	SLC9A6;SLC9A7;SLC9B2	1.0	0.0	Transport, extracellular	Transport reactions
PGE2te	SLCO1A2;SLCO2B1	1.0	0.0	Transport, extracellular	Transport reactions
PGD2te	SLCO2B1	1.0	0.0	Transport, extracellular	Transport reactions
PRGNStec	SLCO2B1	1.0	0.0	Transport, extracellular	Transport reactions
SMOX	SMOX	1.0	0.0	Arginine and proline metabolism	Amino acid metabolism
SPMDOX	SMOX	1.0	0.0	Arginine and proline metabolism	Amino acid metabolism
SPODM	SOD1	1.0	0.0	Reactive species formation and detoxification	Reactive species
ERTHSD_Dy	SORD	1.0	0.0	Pentose and glucuronate interconversions	Carbohydrate metabolism
SBTD_D2	SORD	1.0	0.0	Fructose and mannose metabolism	Carbohydrate metabolism
XYLTD_Dx	SORD	1.0	0.0	Pentose and glucuronate interconversions	Carbohydrate metabolism
SERPT	SPTLC1;SPTLC2	1.0	0.0	Sphingolipid metabolism	Lipid metabolism
CU2RD	STEAP3	1.0	0.0	Reactive species formation and detoxification	Reactive species
FE3RD	STEAP3	1.0	0.0	Reactive species formation and detoxification	Reactive species
TMCU2RDte	STEAP3	1.0	0.0	Transport, extracellular	Transport reactions
TMFE3RDte	STEAP3	1.0	0.0	Transport, extracellular	Transport reactions
FE3t	TF;TFR2;TFRC	1.0	0.0	Transport, extracellular	Transport reactions
PROTQADRNLGMT	TGM2	1.0	0.0	Protein modification	Other
PROTQDPAMGMT	TGM2	1.0	0.0	Protein modification	Other
PROTQGLUN	TGM2	1.0	0.0	Protein modification	Other
PROTQHISTAGMT	TGM2	1.0	0.0	Protein modification	Other
PROTQSRTNGMT	TGM2	1.0	0.0	Protein modification	Other
PROTQPROTLGMT	TGM2;TGM3	1.0	0.0	Protein modification	Other
DHAK	TKFC	1.0	0.0	Glycerolipid metabolism	Lipid metabolism
FADL	TKFC	1.0	0.0	Riboflavin metabolism	Metabolism of cofactors and vitamins
TRIOK	TKFC	1.0	0.0	Fructose and mannose metabolism	Carbohydrate metabolism
TRDRy	TXN;TXNDC17;TXNL1;TXNRD1	1.0	0.0	Reactive species formation and detoxification	Reactive species
MDHDASCBRy	TXN;TXNL1;TXNRD1	1.0	0.0	Ascorbate and aldarate metabolism	Carbohydrate metabolism
Q102ERx	TXNRD1	1.0	0.0	Miscellaneous	Other
Q102ERy	TXNRD1	1.0	0.0	Miscellaneous	Other
UAGDP	UAP1	1.0	0.0	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism
UBIQE1ACT	UBA1;UBA6	1.0	0.0	Ubiquitin mediated proteolysis	Other
POLYUBBPL	UBB;USP5	1.0	0.0	Ubiquitin mediated proteolysis	Other
GALT	UGP2	1.0	0.0	Galactose metabolism	Carbohydrate metabolism
GALU	UGP2	1.0	0.0	Galactose metabolism	Carbohydrate metabolism
OMPDC	UMPS	1.0	0.0	Pyrimidine metabolism	Nucleotide metabolism
ORPT	UMPS	1.0	0.0	Pyrimidine metabolism	Nucleotide metabolism
LDPAMt	VDAC1	1.0	0.0	Transport, extracellular	Transport reactions
GLYCTCLtex	SLC4A1	0.9999999961971828	0.0	Transport, extracellular	Transport reactions
78DHBPTt	SLC29A1	0.9999980168307452	0.0	Transport, extracellular	Transport reactions
SPPTt	SLC29A1	0.9999980168307452	0.0	Transport, extracellular	Transport reactions
PNP	PNP	0.999896888508594	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
PNP2	PNP	0.999896888508594	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
PUNP3	PNP	0.999896888508594	0.0	Purine metabolism	Nucleotide metabolism
PUNP5	PNP	0.999896888508594	0.0	Purine metabolism	Nucleotide metabolism
URIt	SLC29A1	0.9997799651845228	0.0	Transport, extracellular	Transport reactions
TPI	TPI1	0.999714773486458	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
MG2NAtex2	SLC41A1	0.999708312499757	0.0	Transport, extracellular	Transport reactions
ADK3	AK1	0.999490610712732	0.0	Nucleotide metabolism	Nucleotide metabolism
ADK5	AK1	0.999490610712732	0.0	Nucleotide metabolism	Nucleotide metabolism
COBALT2DMT1t	SLC11A2	0.999471895147077	0.0	Transport, extracellular	Transport reactions
FE2DMT1t	SLC11A2	0.999471895147077	0.0	Transport, extracellular	Transport reactions
NDPK2	AK1;NME1;NME2;NME3	0.9991915495496207	0.0	Nucleotide metabolism	Nucleotide metabolism
PUNP4	PNP	0.9991167291179914	0.0	Purine metabolism	Nucleotide metabolism
PUNP6	PNP	0.9991167291179914	0.0	Purine metabolism	Nucleotide metabolism
PRDX2OX1	PRDX1;PRDX2;PRDX4;PRDX5	0.9990223507966608	0.0	Reactive species formation and detoxification	Reactive species
PRDX2OX2	PRDX1;PRDX2;PRDX4;PRDX5	0.9990223507966608	0.0	Purine metabolism	Nucleotide metabolism
THF_AICARtex	SLC19A1	0.9990057819214072	0.0	Transport, extracellular	Transport reactions
NTDDIMP	NT5C;NT5C2	0.9989586498030024	0.0	Purine metabolism	Nucleotide metabolism
ADK7	AK1	0.998461883967973	0.0	Thiamine metabolism	Metabolism of cofactors and vitamins
DADK7	AK1	0.998261739788716	0.0	Thiamine metabolism	Metabolism of cofactors and vitamins
DADK6	AK1	0.9979577083433104	0.0	Nucleotide metabolism	Nucleotide metabolism
SERtec	SLC3A2;SLC43A1;SLC43A2;SLC7A5	0.9975273206853632	0.0	Transport, extracellular	Transport reactions
ADK6	AK1	0.9962206403152696	0.0	Nucleotide metabolism	Nucleotide metabolism
PROtec	SLC3A2;SLC43A1;SLC43A2;SLC7A5	0.9961959067911365	0.0	Transport, extracellular	Transport reactions
GOATA	GOT1;PSAT1	0.9952018484308728	0.0	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
UMPCYTDPT	NT5C3A	0.9939202989793268	0.0	Pyrimidine metabolism	Nucleotide metabolism
2DADNt	SLC29A1	0.9924492437300984	0.0	Transport, extracellular	Transport reactions
DADK4	AK1	0.991901636128326	0.0	Nucleotide metabolism	Nucleotide metabolism
GLYtec	SLC3A2;SLC43A1;SLC43A2;SLC7A5	0.99183243626076	0.0	Transport, extracellular	Transport reactions
PRMTSDMA	CARM1;CLNS1A;PRMT5;WDR77	0.9898913223628468	0.0	Protein modification	Other
ADK4	AK1	0.988794808497172	0.0	Nucleotide metabolism	Nucleotide metabolism
THRtec	SLC3A2;SLC43A1;SLC43A2;SLC7A5	0.9865042936412968	0.0	Transport, extracellular	Transport reactions
HCYSte	SLC3A2;SLC43A1;SLC43A2;SLC7A5	0.9819018882931452	0.0	Transport, extracellular	Transport reactions
5FTHF_5MTHFtex	SLC19A1	0.9815947556501796	0.0	Transport, extracellular	Transport reactions
THF_5FTHFtex	SLC19A1	0.9815947556501796	0.0	Transport, extracellular	Transport reactions
NDPK1	AK1;CMPK1;CMPK2;NME1;NME2;NME3	0.980480026289333	0.0	Pyrimidine metabolism	Nucleotide metabolism
THF_5MTHFtex	SLC19A1	0.9797707875411538	0.0	Transport, extracellular	Transport reactions
NDPK3	AK1;CMPK1;CMPK2;NME1;NME2;NME3	0.979067043864065	0.0	Pyrimidine metabolism	Nucleotide metabolism
5FTHF_AICARtex	SLC19A1	0.9773922773928928	0.0	Transport, extracellular	Transport reactions
5MTHF_AICARtex	SLC19A1	0.9773922773928928	0.0	Transport, extracellular	Transport reactions
BAMPPALDOXx	ALDH3A2;ALDH3B1;ALDH9A1	0.9589178274712798	0.0	Arginine and proline metabolism	Amino acid metabolism
PI34P5K	PIP5K1A;PIP5K1C	0.957118980773758	0.0	Inositol phosphate metabolism	Carbohydrate metabolism
TKT1	TKT	0.95475942006442	0.0	Pentose phosphate pathway	Carbohydrate metabolism
TKT2	TKT	0.95475942006442	0.0	Pentose phosphate pathway	Carbohydrate metabolism
LHCYSTINt	SLC3A2;SLC43A1;SLC43A2;SLC7A5	0.9539641425733882	0.0	Transport, extracellular	Transport reactions
NACCYSDAC	ACY1	0.9524768702095128	0.0	Cysteine and methionine metabolism	Amino acid metabolism
5FTHF_OHtex	SLC19A1	0.9517128765955232	0.0	Transport, extracellular	Transport reactions
PSP_L	PSPH	0.949304493415462	0.0	Glycine, serine and threonine metabolism	Amino acid metabolism
PGM	BPGM;PGAM1	0.9487971595509788	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
DPGM	BPGM;PGAM1	0.9486089828379652	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
5MTHF_OHtex	SLC19A1	0.9475863672207092	0.0	Transport, extracellular	Transport reactions
PI3PP	MTM1;MTMR1;MTMR12;MTMR2;SACM1L;SBF1	0.947112876529354	0.0	Inositol phosphate metabolism	Carbohydrate metabolism
SMPD	SMPD1;SMPD3	0.945029693177553	0.0	Sphingolipid metabolism	Lipid metabolism
MERCPURPRT	HPRT1	0.9439142812109896	0.0	Azathioprine and 6-mercaptopurine metabolism	Other
MTMERCPURPRT	HPRT1	0.9439142812109896	0.0	Azathioprine and 6-mercaptopurine metabolism	Other
GAPP	ARMT1	0.9375179005743592	0.0	Glycerolipid metabolism	Lipid metabolism
METtec	SLC3A2;SLC43A1;SLC43A2;SLC7A5	0.9367398802685236	0.0	Transport, extracellular	Transport reactions
THIOGMPMT	TPMT	0.9366273092689252	0.0	Azathioprine and 6-mercaptopurine metabolism	Other
PTTHK	PANK2	0.9312978565788804	0.0	Pantothenate and CoA metabolism	Metabolism of cofactors and vitamins
ARGCITRtex	SLC3A2;SLC7A1;SLC7A6	0.928032432449576	0.0	Transport, extracellular	Transport reactions
THIOGMPS	GMPS	0.9269345115414768	0.0	Azathioprine and 6-mercaptopurine metabolism	Other
THIOGMPS2	GMPS	0.9269345115414768	0.0	Azathioprine and 6-mercaptopurine metabolism	Other
PPA2	NUDT3	0.922907194854776	0.0	Nucleotide metabolism	Nucleotide metabolism
ARGHIStex	SLC3A2;SLC7A1;SLC7A6	0.9215866798351134	0.0	Transport, extracellular	Transport reactions
HSERALAex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERASNex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERCYSex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERGLNex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERGLYex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERILEex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERLEUex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERMETex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERPHEex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERPROex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERSERex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERTHRex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERTRPex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERTYRex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
HSERVALex	SLC3A2;SLC7A5	0.9199754888646264	0.0	Transport, extracellular	Transport reactions
PENMT1	PEMT	0.9172057904998028	0.0	Glycerophospholipid metabolism	Lipid metabolism
PENMT2	PEMT	0.9172057904998028	0.0	Glycerophospholipid metabolism	Lipid metabolism
PENMT3	PEMT	0.9172057904998028	0.0	Glycerophospholipid metabolism	Lipid metabolism
NaLitex	SLC25A3;SLC9A1;SLC9B2	0.8737986476884837	0.0	Transport, extracellular	Transport reactions
6HOPTHPDH	AKR1B1	0.8671896116034699	0.0	Biopterin metabolism	Metabolism of cofactors and vitamins
XYLR_Dy	AKR1B1	0.8671896116034699	0.0	Pentose and glucuronate interconversions	Carbohydrate metabolism
THGMPABCte	ABCC4;ABCC5	0.8603808116209355	0.0	Transport, extracellular	Transport reactions
THXMPABCte	ABCC4;ABCC5	0.8603808116209355	0.0	Transport, extracellular	Transport reactions
PGMTa	PGM1;PGM2	0.8559894702421006	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
LCAD	ALDH3B1	0.8489150149455859	0.0	Pyruvate metabolism	Carbohydrate metabolism
PRDX2TRDXRD	PRDX1;PRDX2;PRDX4;PRDX5;TXN;TXNL1	0.8485118383472843	0.0	Reactive species formation and detoxification	Reactive species
MAN6PI	MPI	0.8482979545888925	0.0	Fructose and mannose metabolism	Carbohydrate metabolism
NADPHPPS	HDDC3	0.8377528827437661	0.0	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
PHEtec	SLC16A10;SLC3A2;SLC43A1;SLC43A2;SLC7A5	0.8304507204477426	0.0	Transport, extracellular	Transport reactions
INSt	SLC29A1	0.8300787326560489	0.0	Transport, extracellular	Transport reactions
AP4AH1	NUDT2;NUDT3	0.829579645201019	0.0	Nucleotide metabolism	Nucleotide metabolism
2OHE1MT	COMT	0.8202057118081029	0.0	Estrogen metabolism	Lipid metabolism
2OHE1MT2	COMT	0.8202057118081029	0.0	Estrogen metabolism	Lipid metabolism
2OHE2MT	COMT	0.8202057118081029	0.0	Estrogen metabolism	Lipid metabolism
2OHE2MT2	COMT	0.8202057118081029	0.0	Estrogen metabolism	Lipid metabolism
4OHE1MT	COMT	0.8202057118081029	0.0	Estrogen metabolism	Lipid metabolism
4OHE2MT	COMT	0.8202057118081029	0.0	Estrogen metabolism	Lipid metabolism
LDPAMMT	COMT	0.8202057118081029	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
SALMCOM	COMT	0.8202057118081029	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
SALMCOM2	COMT	0.8202057118081029	0.0	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
ADPGK	ADPGK	0.8178763530742668	0.0	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
CGMPtec	SLC22A7	0.8054439030419845	0.0	Transport, extracellular	Transport reactions
CIMPtec	SLC22A7	0.8054439030419845	0.0	Transport, extracellular	Transport reactions
R15BPS1	PGM2L1	0.8052866014031463	0.0	Starch and sucrose metabolism	Carbohydrate metabolism
GUAt	SLC29A1;SLC43A3	0.8008540926249412	0.0	Transport, extracellular	Transport reactions
INDStec	SLC22A7	0.7994030649133587	0.0	Transport, extracellular	Transport reactions
RIBFLVt	SLC52A1	0.7994030649133587	0.0	Transport, extracellular	Transport reactions
