Variables		Abundance and Age	Abundance and Age	Abundance and BMI	Abundance and BMI	Abundance and Weight	Abundance and Weight	Abundance and Height	Abundance and Height	Abundance and Hemolysis.volume	Abundance and Hemolysis.volume	Abundance and Hemolysis.hct	Abundance and Hemolysis.hct	Abundance and Hemolysis.storage_total_hb	Abundance and Hemolysis.storage_total_hb	Abundance and Hemolysis.storage_pct_hemol	Abundance and Hemolysis.storage_pct_hemol	Abundance and Hemolysis.pink_total_hb	Abundance and Hemolysis.pink_total_hb	Abundance and Hemolysis.pink_pct_hemol	Abundance and Hemolysis.pink_pct_hemol	Abundance and Recall.Transfer.Storage.Hemolysis	Abundance and Recall.Transfer.Storage.Hemolysis	Abundance and Recall.Transfer.Osmotic.Hemolysis	Abundance and Recall.Transfer.Osmotic.Hemolysis	Abundance and Recall.Transfer.Oxidative.Hemolysis	Abundance and Recall.Transfer.Oxidative.Hemolysis	Abundance and Adjusted.Storage.Hemolysis	Abundance and Adjusted.Storage.Hemolysis	Abundance and Adjusted.Osmotic.Hemolysis	Abundance and Adjusted.Osmotic.Hemolysis	Abundance and Adjusted.Oxidative.Hemolysis	Abundance and Adjusted.Oxidative.Hemolysis	Abundance and CBC.WBC	Abundance and CBC.WBC	Abundance and CBC.RBC	Abundance and CBC.RBC	Abundance and CBC.HGB	Abundance and CBC.HGB	Abundance and CBC.HCT	Abundance and CBC.HCT	Abundance and CBC.MCV	Abundance and CBC.MCV	Abundance and CBC.RDW	Abundance and CBC.RDW	Abundance and CBC.PLT	Abundance and CBC.PLT	Abundance and Ferritin	Abundance and Ferritin	subsystem	category
EEQ1415EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Eicosapentaenoic acid metabolism	Lipid metabolism
EEQ1718EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Eicosapentaenoic acid metabolism	Lipid metabolism
EEQ56EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Eicosapentaenoic acid metabolism	Lipid metabolism
EEQ89EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Eicosapentaenoic acid metabolism	Lipid metabolism
EET1112EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Arachidonic acid metabolism	Lipid metabolism
EET1314EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Arachidonic acid metabolism	Lipid metabolism
EET56EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Arachidonic acid metabolism	Lipid metabolism
EET89EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Arachidonic acid metabolism	Lipid metabolism
EPOME1213EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Linoleate metabolism	Lipid metabolism
EPOME910EPHX	EPHX1;EPHX2	0.1002003119443633	1.593157598592309e-05	-0.1285181555880397	2.9554948594862036e-08	-0.1502310642878546	8.544565489260856e-11	-0.0915955699698427	8.04111609750525e-05	0.0476964995844954	0.0403474244565118	0.4526351482567957	5.154521996835463e-94	0.3386266014100319	8.246071685045711e-51	-0.1211363423680648	1.7996148624794809e-07	-0.0195327147882387	0.4013618593274861	-0.1161887220547829	5.489719079059038e-07	-0.087379783852775	0.0001889459212152	-0.0884098720016904	0.0001583861153227	-0.2072614443461308	4.048683188455005e-19	-0.1005766050574048	1.5035735699902252e-05	-0.0221725327908568	0.3407759317651666	-0.0385419142219779	0.1569704603876364	0.0279236728019922	0.2348117570100079	-0.0741545634954354	0.0015844590169333	-0.052151703919651	0.0264220720448927	-0.0608148544899448	0.0096156624626998	0.0466181884535115	0.0472409653442498	-0.0391580512387759	0.0956431563851579	0.1439187401249821	7.550029886558527e-10	-0.0541205245694172	0.0200830649729455	Linoleate metabolism	Lipid metabolism
FUMAC	FAH	-0.0757379844190462	0.0011206989542195	-0.0682996241684801	0.003308343750876	-0.100861286321106	1.3990514870402543e-05	-0.1004271339276152	1.5238239840394704e-05	0.1403704105939272	1.359189470936686e-09	0.1768859827037519	1.8685204308309702e-14	0.0776053727783204	0.0008410855309439	-0.0773820203350332	0.0008792447627212	-0.0798781124480773	0.0005881968077265	-0.0680358576845988	0.0034317144612887	-0.0095782460879181	0.6829338646809453	-0.0945706504072872	5.301522411452467e-05	-0.0780605313358429	0.0008564004270846	-0.0789524848892597	0.0006880835319926	-0.0346913594004	0.1360232923064559	-0.0632784674766357	0.0200625443971054	0.0071134957452014	0.7621952727155846	-0.069630504809303	0.0030213488256529	-0.0372660589880487	0.1127886360042715	-0.0883218173875992	0.0001669419674173	0.0244179290376798	0.2988744591564005	-0.0454712535311189	0.0529575220244929	0.0716838972348063	0.0022638954679688	-0.0162776283123274	0.4847064351954868	Phenylalanine, tyrosine and tryptophan metabolism	Amino acid metabolism
OAADC	FAHD1;ME1	0.1059884981676557	4.9698582839915554e-06	-0.1608676624371798	3.497984185874048e-12	-0.1659858178611294	6.945921558377767e-13	-0.0718632152990443	0.0019935639704726	0.0612003752721131	0.0084986042116967	0.4995358011404069	3.154643559006633e-117	0.3802573732198606	1.206567337149867e-64	-0.1327373949892271	1.0465468406359404e-08	-0.0387547088948895	0.0958130023744026	-0.1005223640035305	1.4955797838238494e-05	-0.0961963118028795	3.927191415704217e-05	-0.0857155889210186	0.0002502676039839	-0.2129142006482779	4.115396532313978e-20	-0.1062328643509848	4.809689856687022e-06	0.0061011163408855	0.7932427834294706	-0.0496427424599005	0.0682389683547594	0.0173672968043976	0.4600104796693109	-0.0521794204882796	0.0263419714969749	-0.0107533049246226	0.647355060651522	-0.0174767513709917	0.4571870976664051	0.0661727951862154	0.0048329560924628	-0.0803292630607266	0.0006202624012444	0.1545677541459831	3.7198725372489865e-11	-0.0288942450193512	0.2147809903812492	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Carbohydrate metabolism
FUM	FH	0.0148738975315658	0.5228181621139345	-0.0649155362730156	0.00524368454468	-0.0848002775610985	0.0002627161253296	-0.0394017800322368	0.0903927082384844	0.0548914145829484	0.0182810878742275	0.3143774143303255	1.1334431499234912e-43	0.1898959688157867	1.8286590623586852e-16	-0.0852488997833151	0.0002464425399689	-0.0651759136113845	0.0050646782754025	-0.0507059563565953	0.0292801711948619	-0.0511091132312564	0.0291896301019084	-0.0840094718558102	0.0003321590798503	-0.086850331431998	0.0002067295685648	-0.0770164869530678	0.0009302929360089	0.0035329843643644	0.87936443885148	-0.0044118515941108	0.8713433316657697	0.0126365208356771	0.5908832332176327	-0.0454449778350069	0.0530949721796761	-0.0476815767184515	0.042413120983135	-0.0717845092759187	0.0022316917924245	-0.0115446868825864	0.6233509242623323	-0.0302062796430434	0.1987173060480616	0.0373547368843646	0.1119343047946192	-0.0398932112351011	0.0866992580587216	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Carbohydrate metabolism
PI35P5P	FIG4	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Inositol phosphate metabolism	Carbohydrate metabolism
PI345P5P	FIG4;INPP5D	0.0962362469533082	3.415064403064361e-05	-0.1607206549147919	3.661452906838794e-12	-0.1761408812982807	2.4104825895303405e-14	-0.0886035754107187	0.0001368191165102	0.0852134215920597	0.0002450489378168	0.464355352688011	1.762067347336873e-99	0.3314909871833326	1.2150801890551186e-48	-0.1349532772150545	5.9051535576029205e-09	-0.0523650095608674	0.0243787103935417	-0.1069600830814613	4.062611670033365e-06	-0.0758263824576551	0.0012028922553598	-0.0941718695283047	5.702367227911468e-05	-0.2225425536950382	7.195738086552663e-22	-0.111237976735393	1.6703963669603665e-06	-0.0054178081724425	0.8159579737562234	-0.046125929559651	0.0902450138520943	0.0197792553762097	0.4000921847638613	-0.0650394806522802	0.0056125798794776	-0.0386958805268713	0.0996257797424112	-0.0461225908885407	0.0496441355679635	0.0570809318577437	0.0150945486966919	-0.0624985604834217	0.0077867497288745	0.1618393339693369	4.205762363715393e-12	-0.0450131555425672	0.0532189019802454	Inositol phosphate metabolism	Carbohydrate metabolism
FEROX	FXN	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Porphyrin metabolism	Metabolism of cofactors and vitamins
G6PDH2	G6PD	-0.046518530694815	0.0455558811326075	-0.0716494693478863	0.0020563456180854	-0.0898232757262368	0.0001103806602945	-0.0526399655180147	0.0236391295695483	0.0668804495360913	0.0040229436927737	0.2231122459043895	2.805194304321255e-22	0.144777372061764	4.0393335359094087e-10	-0.1013834444991236	1.2825304964508704e-05	-0.0060437123701234	0.7951446213322025	0.019410058430727	0.4043256341876564	-0.0454384080539794	0.0525413989024986	0.051346626418893	0.0284471277340052	-0.133047367926446	1.20506335347174e-08	-0.0871953874691364	0.0001768701699627	0.0595850090573014	0.0104069581175637	0.0113078708653239	0.6780642261414582	0.0034445624512967	0.8835061772008301	-0.0402164519559832	0.0870020219595232	-0.0663030263638942	0.004749947788962	-0.1090765568206498	3.258509997917715e-06	-0.0614069206804525	0.0089329740315115	0.0334338903246544	0.1548475458388188	0.0504529186591252	0.0317499170527059	-0.077428059343704	0.0008730025337321	Pentose phosphate pathway	Carbohydrate metabolism
UGLT	GALT	0.072611681196347	0.0017873242086656	-0.1550908398009786	2.0392089724757336e-11	-0.1342744181707084	6.848776365277974e-09	-0.0123759907523018	0.5949448336560499	0.0345286305866938	0.1378705688132539	0.4426283249536039	1.6333026799250036e-89	0.3503787123992027	1.6537746981575607e-54	-0.1370645227553021	3.393678738549148e-09	0.0043799270342399	0.8507516737116037	-0.1216267630362328	1.5672425192363697e-07	-0.0977283139452832	2.947085582492789e-05	-0.0960535164753247	4.032841980894033e-05	-0.1765995411415792	3.1837359988882124e-14	-0.1098733892809299	2.23887621900682e-06	-0.0252152176827611	0.2786309416243617	-0.0509270066612885	0.0613924573458498	-0.0026385531845533	0.9106334722081028	-0.0235176694681971	0.3170501469378343	0.0018301971110289	0.9379446757502627	0.0024211059902075	0.9179711555507292	0.0369890884612518	0.115490093682841	-0.0838549915174969	0.0003524609061774	0.121590481194145	2.0858982973501025e-07	-0.0285368490875561	0.2205091858798183	Galactose metabolism	Carbohydrate metabolism
NADHHR	GAPDH	-0.0789668353151246	0.0006796350113759	-0.1138504167957297	9.252985902867556e-07	-0.0905272792233608	9.739533513969432e-05	0.029889034252385	0.1990375569549338	0.0524946474394041	0.0240275482390526	0.1909043454302789	1.2594558146476175e-16	0.12514280624674	6.766066604781561e-08	-0.1206882122389486	1.9984814480673083e-07	0.0140795137692609	0.54526151854864	-0.000852947295083	0.9707704455848876	-0.0753958112482336	0.0012830106479824	0.0191566758025645	0.413934226956316	-0.1907481115613542	2.2169049285765528e-16	-0.1137532610636912	9.64761990384072e-07	0.0324189552383423	0.1636012692399196	0.0816441581342895	0.0026818404687811	-0.0194539919313762	0.4078877296663888	0.0001896351519904	0.9935637411587376	0.0160696462429883	0.4942162457330169	-0.032950340259945	0.1609064435755086	-0.0527926326536017	0.0246226661982442	-0.0315460663232552	0.1795157520983974	-0.0059583802784502	0.799911890981702	-0.0049989596863071	0.8300959969024261	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
NADHHS	GAPDH	-0.0789668353151246	0.0006796350113759	-0.1138504167957297	9.252985902867556e-07	-0.0905272792233608	9.739533513969432e-05	0.029889034252385	0.1990375569549338	0.0524946474394041	0.0240275482390526	0.1909043454302789	1.2594558146476175e-16	0.12514280624674	6.766066604781561e-08	-0.1206882122389486	1.9984814480673083e-07	0.0140795137692609	0.54526151854864	-0.000852947295083	0.9707704455848876	-0.0753958112482336	0.0012830106479824	0.0191566758025645	0.413934226956316	-0.1907481115613542	2.2169049285765528e-16	-0.1137532610636912	9.64761990384072e-07	0.0324189552383423	0.1636012692399196	0.0816441581342895	0.0026818404687811	-0.0194539919313762	0.4078877296663888	0.0001896351519904	0.9935637411587376	0.0160696462429883	0.4942162457330169	-0.032950340259945	0.1609064435755086	-0.0527926326536017	0.0246226661982442	-0.0315460663232552	0.1795157520983974	-0.0059583802784502	0.799911890981702	-0.0049989596863071	0.8300959969024261	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
GAPD	GAPDH;GAPDHS	-0.0769713438654137	0.0009278151336865	-0.1158136858146691	5.973275870894742e-07	-0.0928322012684805	6.42485456014199e-05	0.0283715391517766	0.222818994452839	0.0533891657019018	0.0217218188158686	0.1970127771474319	1.25858877745239e-17	0.1295034074132049	2.311387208808769e-08	-0.1221280937405472	1.4251438097398485e-07	0.0131619966273617	0.5717647041376959	-0.0026052432266157	0.910887176976143	-0.0766307182424244	0.0010654669667637	0.0173343068929005	0.459750617667508	-0.193144274799355	9.188350059690203e-17	-0.1148398787511286	7.583259212789244e-07	0.0319614922287745	0.1696299934595549	0.080232471267126	0.0031782007114959	-0.0191893753876617	0.4142959739367431	-0.0006517280647527	0.9778827970299424	0.01570165732687	0.5041580332055333	-0.0332609454500018	0.1569943464641418	-0.0516734110352168	0.0278378173751566	-0.0327734701686729	0.1631667776424035	-0.0033332367966266	0.8872456062974308	-0.0053076642382777	0.819778669794494	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
AP4ASYN	GARS1;KARS1	0.0884005508146715	0.0001417609170791	-0.1235672509489584	9.886704229279835e-08	-0.1421766338996949	8.30339350555105e-10	-0.0811876907227248	0.0004766735811732	0.0611659902678929	0.0085357261575023	0.4721159285521535	3.2171172656933894e-103	0.3534170365830193	1.7236102027636186e-55	-0.1156848166195755	6.279001788008017e-07	-0.0305879819500381	0.1887300192180627	-0.0961248408018258	3.4875937920047205e-05	-0.0691745501150372	0.0031428518177424	-0.0839056175451654	0.0003378764939	-0.1864535488386188	1.0442542911529304e-15	-0.0902198144375104	0.0001042235725972	0.0042740736412705	0.8543178632281999	-0.0188536528188698	0.4888448501003408	0.0269616002549537	0.2513374119240341	-0.0605008839872191	0.0099962293095866	-0.0183947430528268	0.4338938722179938	-0.0310992686347267	0.1857597176950184	0.0746438190941968	0.001474522396062	-0.0796514643030703	0.0006897425880066	0.1536550542155299	4.8556702837612505e-11	-0.0186991638247648	0.4221367720159327	Nucleotide metabolism	Nucleotide metabolism
GTPCH1	GCH1	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Biopterin metabolism	Metabolism of cofactors and vitamins
GTPCH2	GCH1	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Biopterin metabolism	Metabolism of cofactors and vitamins
GTPCH3	GCH1	0.1136000153464904	9.77913152373856e-07	-0.1602709903828061	4.2093216051095175e-12	-0.1764782361588831	2.1482521393721312e-14	-0.0930820193344707	6.138052674916992e-05	0.0637836430956403	0.0060900556843455	0.5013593814045125	3.320974836188599e-118	0.3743582982164047	1.475468120326117e-62	-0.129962890604853	2.11467375855944e-08	-0.0412328923156858	0.0763797618503614	-0.1158803010177585	5.884489186438261e-07	-0.0911964305710911	9.735459590518826e-05	-0.1003499877882362	1.7855626606779973e-05	-0.2112655832740521	8.071255975054904e-20	-0.1042028685135367	7.289513577886573e-06	-0.0059144393523309	0.7994319765573589	-0.0639977028370534	0.0186899234063542	0.0266732755986341	0.2564442336549991	-0.0570476798189209	0.0151537058743185	-0.0251570538446896	0.2844817538672102	-0.0276421554427523	0.2395657956115646	0.0677042214793644	0.0039350026339923	-0.080199982849905	0.0006329907024505	0.1710344053799447	2.308946704542469e-13	-0.046474034524055	0.0459397667441737	Biopterin metabolism	Metabolism of cofactors and vitamins
