	genes	uniprot	drugbank	pfam	hgnc.symbol	dbsnp	smpdb
49	ATP1B1	P05026	DB01250;DB09020;DB09479;DB16690	PF00287	ATP1B1		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000296;SMP0000297;SMP0000298;SMP0000299;SMP0000300;SMP0000301;SMP0000302;SMP0000303;SMP0000304;SMP0000305;SMP0000306;SMP0000307;SMP0000323;SMP0000324;SMP0000325;SMP0000326;SMP0000327;SMP0000328;SMP0000329;SMP0000330;SMP0000331;SMP0000332;SMP0000359;SMP0000366;SMP0000367;SMP0000368;SMP0000375;SMP0000376;SMP0000377;SMP0000378;SMP0000379;SMP0000380;SMP0000381;SMP0000382;SMP0000392;SMP0000393;SMP0000394;SMP0000395;SMP0000396;SMP0000397;SMP0000398;SMP0000399;SMP0000400;SMP0000401;SMP0000402;SMP0000403;SMP0000404;SMP0000405;SMP0000406;SMP0000407;SMP0000408;SMP0000409;SMP0000410;SMP0000411;SMP0000412;SMP0000413;SMP0000414;SMP0000415;SMP0000416;SMP0000417;SMP0000422;SMP0000423;SMP0000424;SMP0000425;SMP0000426;SMP0000431;SMP0000457;SMP0000458;SMP0000583;SMP0000657;SMP0000658;SMP0000659;SMP0000660;SMP0000661;SMP0000662;SMP0000663;SMP0000664;SMP0000665;SMP0000666;SMP0000667;SMP0000668;SMP0000669;SMP0000670;SMP0000671;SMP0000672;SMP0000673;SMP0000674;SMP0000675;SMP0000676;SMP0000677;SMP0000678;SMP0000679;SMP0000680;SMP0000681;SMP0000683;SMP0000684;SMP0000685;SMP0000686;SMP0000687;SMP0000688;SMP0000689;SMP0000690;SMP0000691;SMP0000723
50	ATP1B2	P14415	DB01250;DB09020;DB09479;DB16690	PF00287	ATP1B2		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000296;SMP0000297;SMP0000298;SMP0000299;SMP0000300;SMP0000301;SMP0000302;SMP0000303;SMP0000304;SMP0000305;SMP0000306;SMP0000307;SMP0000323;SMP0000324;SMP0000325;SMP0000326;SMP0000327;SMP0000328;SMP0000329;SMP0000330;SMP0000331;SMP0000332;SMP0000359;SMP0000366;SMP0000367;SMP0000368;SMP0000375;SMP0000376;SMP0000377;SMP0000378;SMP0000379;SMP0000380;SMP0000381;SMP0000382;SMP0000392;SMP0000393;SMP0000394;SMP0000395;SMP0000396;SMP0000397;SMP0000398;SMP0000399;SMP0000400;SMP0000401;SMP0000402;SMP0000403;SMP0000404;SMP0000405;SMP0000406;SMP0000407;SMP0000408;SMP0000409;SMP0000410;SMP0000411;SMP0000412;SMP0000413;SMP0000414;SMP0000415;SMP0000416;SMP0000417;SMP0000422;SMP0000423;SMP0000424;SMP0000425;SMP0000426;SMP0000431;SMP0000457;SMP0000458;SMP0000583;SMP0000657;SMP0000658;SMP0000659;SMP0000660;SMP0000661;SMP0000662;SMP0000663;SMP0000664;SMP0000665;SMP0000666;SMP0000667;SMP0000668;SMP0000669;SMP0000670;SMP0000671;SMP0000672;SMP0000673;SMP0000674;SMP0000675;SMP0000676;SMP0000677;SMP0000678;SMP0000679;SMP0000680;SMP0000681;SMP0000683;SMP0000684;SMP0000685;SMP0000686;SMP0000687;SMP0000688;SMP0000689;SMP0000690;SMP0000691;SMP0000723
51	ATP1B3	P54709	DB01250;DB09020;DB09479;DB16690	PF00287	ATP1B3		SMP0000078;SMP0000080;SMP0000081;SMP0000088;SMP0000090;SMP0000091;SMP0000097;SMP0000100;SMP0000103;SMP0000105;SMP0000108;SMP0000110;SMP0000115;SMP0000118;SMP0000121;SMP0000122;SMP0000132;SMP0000133;SMP0000134;SMP0000135;SMP0000184;SMP0000189;SMP0000193;SMP0000197;SMP0000245;SMP0000296;SMP0000297;SMP0000298;SMP0000299;SMP0000300;SMP0000301;SMP0000302;SMP0000303;SMP0000304;SMP0000305;SMP0000306;SMP0000307;SMP0000323;SMP0000324;SMP0000325;SMP0000326;SMP0000327;SMP0000328;SMP0000329;SMP0000330;SMP0000331;SMP0000332;SMP0000359;SMP0000366;SMP0000367;SMP0000368;SMP0000375;SMP0000376;SMP0000377;SMP0000378;SMP0000379;SMP0000380;SMP0000381;SMP0000382;SMP0000392;SMP0000393;SMP0000394;SMP0000395;SMP0000396;SMP0000397;SMP0000398;SMP0000399;SMP0000400;SMP0000401;SMP0000402;SMP0000403;SMP0000404;SMP0000405;SMP0000406;SMP0000407;SMP0000408;SMP0000409;SMP0000410;SMP0000411;SMP0000412;SMP0000413;SMP0000414;SMP0000415;SMP0000416;SMP0000417;SMP0000422;SMP0000423;SMP0000424;SMP0000425;SMP0000426;SMP0000431;SMP0000457;SMP0000458;SMP0000583;SMP0000657;SMP0000658;SMP0000659;SMP0000660;SMP0000661;SMP0000662;SMP0000663;SMP0000664;SMP0000665;SMP0000666;SMP0000667;SMP0000668;SMP0000669;SMP0000670;SMP0000671;SMP0000672;SMP0000673;SMP0000674;SMP0000675;SMP0000676;SMP0000677;SMP0000678;SMP0000679;SMP0000680;SMP0000681;SMP0000683;SMP0000684;SMP0000685;SMP0000686;SMP0000687;SMP0000688;SMP0000689;SMP0000690;SMP0000691;SMP0000723
52	ATP2B1	P20020	DB00867;DB01159;DB01189;DB01236	PF00689;PF00690;PF12424	ATP2B1		
53	ATP2B4	P23634	DB00867;DB01159;DB01189;DB01236	PF00689;PF00690;PF12424	ATP2B4		
54	ATP6AP1	Q15904	DB01133	PF05827	ATP6AP1		
55	ATP6V0A1	Q93050	DB01133	PF01496	ATP6V0A1		
56	ATP6V0C	P27449	DB01133	PF00137	ATP6V0C		
57	ATP6V1A	P38606	DB00630;DB01077;DB01133;DB06733;DB06734	PF00006;PF00306;PF02874;PF16886	ATP6V1A		
58	ATP6V1B2	P21281	DB01133;DB05260;DB07347	PF00006;PF00306;PF02874	ATP6V1B2		
59	ATP6V1C1	P21283	DB01133;DB01694;DB09552	PF03223	ATP6V1C1		
60	ATP6V1D	Q9Y5K8	DB01133	PF01813	ATP6V1D		
61	ATP6V1E1	P36543	DB01133	PF01991	ATP6V1E1		
62	ATP6V1F	Q16864	DB01133	PF01990	ATP6V1F		
63	ATP6V1G1	O75348	DB01133	PF03179	ATP6V1G1		
64	ATP6V1H	Q9UI12	DB01133	PF03224;PF11698	ATP6V1H		
65	ATP7A	Q04656	DB00515;DB00526;DB00958;DB09130	PF00122;PF00403	ATP7A		
66	ATP7B	P35670	DB00515;DB00526;DB00958;DB09130	PF00122;PF00403	ATP7B		
67	BLVRA	P53004	DB00157	PF01408;PF09166	BLVRA		SMP0000024;SMP0000342;SMP0000344;SMP0000345;SMP0000346
68	BLVRB	P30043	DB00140;DB00157;DB02073;DB03247;DB03461;DB04345;DB04363;DB09241	PF13460	BLVRB		
69	CA1	P00915	DB00232;DB00273;DB00310;DB00311;DB00381;DB00423;DB00436;DB00562;DB00606;DB00703;DB00774;DB00819;DB00869;DB00880;DB00909;DB01021;DB01031;DB01144;DB01194;DB01325;DB01593;DB08155;DB08156;DB08157;DB08846;DB09460;DB09472;DB14487	PF00194	CA1		SMP0000225;SMP0000226;SMP0000227;SMP0000228;SMP0000229;SMP0000230;SMP0000231;SMP0000232;SMP0000233;SMP0000246;SMP0000589;SMP0000734;SMP0000735;SMP0000736;SMP0051038
70	CA2	P00918	DB00232;DB00273;DB00311;DB00391;DB00436;DB00482;DB00562;DB00580;DB00606;DB00695;DB00703;DB00774;DB00819;DB00869;DB00880;DB00909;DB01021;DB01031;DB01144;DB01194;DB01325;DB01671;DB01748;DB01784;DB01942;DB01964;DB02069;DB02087;DB02220;DB02221;DB02292;DB02429;DB02479;DB02535;DB02602;DB02610;DB02679;DB02861;DB02866;DB02894;DB02986;DB03039;DB03221;DB03262;DB03270;DB03294;DB03333;DB03385;DB03526;DB03594;DB03596;DB03598;DB03697;DB03844;DB03877;DB03904;DB03950;DB03975;DB04002;DB04081;DB04089;DB04180;DB04203;DB04371;DB04394;DB04549;DB04600;DB04601;DB04763;DB06891;DB06954;DB07048;DB07050;DB07363;DB07467;DB07476;DB07596;DB07632;DB07710;DB07742;DB08046;DB08083;DB08155;DB08156;DB08157;DB08165;DB08202;DB08301;DB08329;DB08416;DB08418;DB08645;DB08659;DB08765;DB08782;DB08846;DB09460;DB09472;DB14533;DB14548	PF00194	CA2		
71	CA3	P07451	DB00273;DB00311;DB00391;DB00482;DB00562;DB00580;DB00606;DB00703;DB00819;DB00869;DB00909;DB01144;DB01194;DB08846;DB12418	PF00194	CA3		
72	CA4	P22748	DB00232;DB00273;DB00311;DB00436;DB00562;DB00606;DB00703;DB00774;DB00819;DB00869;DB00909;DB01021;DB01144;DB01194;DB08846;DB09460	PF00194	CA4		
73	CACNA1A	O00555	DB00153;DB00228;DB00252;DB00421;DB00622;DB00653;DB00661;DB00825;DB00836;DB01054;DB01244;DB06283;DB06446;DB06751;DB09089;DB09231;DB09232;DB09235;DB09236;DB09238;DB11093;DB11148;DB11348;DB13746;DB14481	PF00520;PF08763;PF16905	CACNA1A		SMP0000392;SMP0000393;SMP0000394;SMP0000395;SMP0000396;SMP0000397;SMP0000398;SMP0000399;SMP0000400;SMP0000401;SMP0000402;SMP0000403;SMP0000404;SMP0000405;SMP0000406;SMP0000407;SMP0000408;SMP0000409;SMP0000410;SMP0000411;SMP0000412;SMP0000413;SMP0000414;SMP0000415;SMP0000416;SMP0000417;SMP0000422;SMP0000423;SMP0000424;SMP0000425;SMP0000426;SMP0000431;SMP0000453;SMP0000454;SMP0000460;SMP0000461;SMP0000671;SMP0000672;SMP0000673;SMP0000674;SMP0000675;SMP0000676;SMP0000677;SMP0000678;SMP0000679;SMP0000680;SMP0000681;SMP0000683;SMP0000684;SMP0000685;SMP0000686;SMP0000687;SMP0000688;SMP0000689;SMP0000690;SMP0000691
74	CAD	P27708	DB00128;DB00130;DB03459	PF00117;PF00185;PF00988;PF01979;PF02142;PF02729;PF02786;PF02787	CAD		SMP0000046;SMP0000067;SMP0000072;SMP0000136;SMP0000172;SMP0000175;SMP0000178;SMP0000192;SMP0000202;SMP0000219;SMP0000243;SMP0000339;SMP0000385;SMP0000567
75	CARS1	P49589	DB00151	PF01406	CARS		SMP0000013;SMP0000499;SMP0000722
76	CAT	P04040	DB01213;DB09061;DB09096;DB09116;DB11091;DB14009;DB14011	PF00199;PF06628	CAT		SMP0000063;SMP0000429;SMP0000449
77	CBR1	P16152	DB00414;DB00502;DB00694;DB00776;DB00997;DB01039;DB01046;DB01698;DB02709;DB03394;DB03556;DB04216;DB04463;DB04844;DB05197;DB06263;DB09212;DB11672;DB12161;DB14635	PF00106	CBR1		SMP0000005;SMP0000075;SMP0000077;SMP0000083;SMP0000084;SMP0000085;SMP0000086;SMP0000087;SMP0000093;SMP0000094;SMP0000096;SMP0000098;SMP0000101;SMP0000102;SMP0000104;SMP0000106;SMP0000109;SMP0000113;SMP0000114;SMP0000116;SMP0000120;SMP0000289;SMP0000353;SMP0000486;SMP0000487;SMP0000488;SMP0000489;SMP0000490;SMP0000491;SMP0000650;SMP0000692;SMP0000693;SMP0000694;SMP0000695;SMP0000696;SMP0000697;SMP0000698;SMP0000699;SMP0000700;SMP0000701;SMP0000702;SMP0000703;SMP0000704;SMP0000705;SMP0000706;SMP0000707;SMP0000708;SMP0000709;SMP0000710
78	CBR3	O75828	DB00694;DB00776;DB00997;DB12161	PF00106	CBR3		SMP0000650
79	CD38	P28907	DB09331;DB14811;DB16370	PF02267	CD38		
80	CDC42	P60953	DB02623;DB04315	PF00071	CDC42		SMP0000320;SMP0000321
81	CDIPT	O14735	DB03106	PF01066	CDIPT		SMP0000025;SMP0000463;SMP0000582
82	CDK4	P11802	DB02733;DB03496;DB09073;DB11730;DB12001;DB12010;DB15442	PF00069	CDK4		
83	CFTR	P13569	DB00171;DB00887;DB01016;DB01050;DB01645;DB02587;DB04395;DB04522;DB04941;DB06266;DB08820;DB09213;DB09280;DB11712;DB15444	PF00005;PF00664;PF14396	CFTR	rs75527207	
84	CKB	P12277	DB00148;DB00300;DB00787;DB13191;DB13749	PF00217;PF02807	CKB		SMP0000020;SMP0000188;SMP0000207;SMP0000208;SMP0000360;SMP0000361;SMP0000362;SMP0000363;SMP0000504;SMP0000505;SMP0000506;SMP0000507
85	CKM	P06732	DB00148;DB00300;DB00787;DB02490;DB04027;DB13191	PF00217;PF02807	CKM		
86	CLCN2	P51788	DB01046;DB05514	PF00654	CLCN2		
87	CLIC1	O00299	DB09130;DB11638	PF13417	CLIC1		
88	CMPK1	P30085	DB00441;DB00709;DB01262;DB03403;DB03435;DB03664;DB04444;DB08934	PF00406	CMPK1		SMP0000444;SMP0000446;SMP0000579;SMP0000580;SMP0000603;SMP0000649
89	COMT	P21964	DB00118;DB00252;DB00255;DB00286;DB00323;DB00494;DB00668;DB00714;DB00783;DB00841;DB00968;DB00977;DB00988;DB01064;DB01141;DB01420;DB02105;DB02342;DB03336;DB03907;DB04820;DB06152;DB07462;DB08049;DB11632;DB15488	PF01596	COMT	rs4680	SMP0000006;SMP0000169;SMP0000190;SMP0000218;SMP0000327;SMP0000429;SMP0000494;SMP0000498;SMP0000533;SMP0030880
90	CPT1A	P50416	DB00583;DB01016;DB01074	PF00755;PF16484	CPT1A		SMP0000051;SMP0000181;SMP0000185;SMP0000235;SMP0000482;SMP0000538;SMP0000539;SMP0000540;SMP0000541;SMP0000542;SMP0000545
91	CSNK1A1	P48729	DB12010	PF00069	CSNK1A1		
92	CSNK1G1	Q9HCP0	DB08325	PF00069;PF12605	CSNK1G1		
93	CSNK1G3	Q9Y6M4	DB04751;DB07488;DB07489;DB07664	PF00069;PF12605	CSNK1G3		
94	CSNK2A1	P68400	DB00171;DB01765;DB02170;DB02709;DB03035;DB03127;DB03924;DB04216;DB04395;DB04462;DB04719;DB04720;DB04721;DB07715;DB07802;DB08338;DB08340;DB08345;DB08353;DB08354;DB08360;DB08362;DB08473;DB08660;DB08846;DB12010	PF00069	CSNK2A1		
95	CSNK2A2	P19784	DB07546;DB12010	PF00069	CSNK2A2		
96	CSNK2B	P67870	DB00171;DB04216	PF01214	CSNK2B		
97	CTH	P32929	DB00114;DB00151;DB02328;DB03928;DB04217	PF01053	CTH		SMP0000004;SMP0000013;SMP0000029;SMP0000033;SMP0000177;SMP0000179;SMP0000214;SMP0000221;SMP0000222;SMP0000223;SMP0000242;SMP0000244;SMP0000340;SMP0000341;SMP0000455;SMP0000484;SMP0000485;SMP0000499;SMP0000514;SMP0000515;SMP0000570;SMP0000721;SMP0000722
98	CTPS1	P17812	DB00130	PF00117;PF06418	CTPS1		SMP0000046;SMP0000172;SMP0000178;SMP0000202;SMP0000219;SMP0000446;SMP0000603
99	CYB5A	P00167	DB04009;DB11136;DB14526;DB14527;DB14528;DB14529;DB14530	PF00173	CYB5A		
100	CYB5B	O43169	DB12695	PF00173	CYB5B		
101	CYB5R3	P00387	DB00157;DB03147;DB09130	PF00175;PF00970	CYB5R3		
102	CYBRD1	Q53TN4	DB13257;DB14520	PF03188	CYBRD1		
103	DARS1	P14868	DB00128	PF00152;PF01336	DARS		SMP0000067;SMP0000175;SMP0000192
104	DCXR	Q7Z4W1	DB02831;DB03461	PF00106	DCXR		
105	DGKA	P23743	DB00163;DB14001	PF00130;PF00609;PF00781;PF14513	DGKA		SMP0000025;SMP0000039;SMP0000187;SMP0000529
106	DGKD	Q16760	DB00144;DB14001	PF00130;PF00169;PF00609;PF00781;PF07647	DGKD		
107	DHFR	P00374	DB00157;DB00158;DB00205;DB00555;DB00563;DB00642;DB00798;DB01131;DB01157;DB02104;DB02427;DB02559;DB02583;DB02919;DB03060;DB03125;DB03351;DB03461;DB03695;DB03886;DB03987;DB06358;DB06813;DB07140;DB07141;DB07142;DB07144;DB08234;DB08406;DB08448;DB08642;DB08878	PF00186	DHFR		SMP0000005;SMP0000053;SMP0000432;SMP0000486;SMP0000487;SMP0000488;SMP0000489;SMP0000490;SMP0000491;SMP0000543;SMP0000724
108	DHRS11	Q6UWP2	DB03461	PF00106	DHRS11		
109	DNPEP	Q9ULA0	DB00142	PF02127	DNPEP		
110	DTYMK	P23919	DB01643;DB03150;DB03195;DB03233;DB03280;DB03666;DB03845;DB04395	PF02223	DTYMK		
111	EBP	Q15125	DB00675	PF05241	EBP		SMP0000023;SMP0000079;SMP0000082;SMP0000089;SMP0000092;SMP0000095;SMP0000099;SMP0000107;SMP0000111;SMP0000112;SMP0000117;SMP0000119;SMP0000131;SMP0000209;SMP0000319;SMP0000386;SMP0000387;SMP0000388;SMP0000389;SMP0000508;SMP0000509;SMP0000510;SMP0000511
112	EEF2	P13639	DB02059;DB03223;DB04315;DB08348;DB11823;DB12688	PF00679;PF03144;PF03764;PF14492	EEF2		
113	ENO1	P06733	DB01593;DB09130;DB11638;DB14487;DB14533;DB14548	PF00113;PF03952	ENO1		SMP0000040;SMP0000128;SMP0000374;SMP0000531;SMP0000560;SMP0000562;SMP0000563;SMP0000572;SMP0000573;SMP0000574;SMP0000581;SMP0000654
114	ENO2	P09104	DB02726	PF00113;PF03952	ENO2		
115	ENOPH1	Q9UHY7	DB07912;DB09325	PF13419	ENOPH1		
116	EPHX1	P07099	DB00252;DB00808	PF06441	EPHX1		SMP0000327;SMP0000634
117	EPRS1	P07814	DB00142;DB00172;DB02510;DB02684;DB03376	PF00458;PF00587;PF00749;PF03129;PF03950;PF09180;PF14497	EPRS		SMP0000020;SMP0000188;SMP0000207;SMP0000208;SMP0000360;SMP0000361;SMP0000362;SMP0000363;SMP0000504;SMP0000505;SMP0000506;SMP0000507
118	ESD	P10768	DB00143	PF00756	ESD		
119	FABP1	P07148	DB02074;DB02216;DB02659;DB04224	PF00061	FABP1		
120	FABP5	Q01469	DB03796	PF00061	FABP5		
121	FADS1	O60427	DB00132;DB00159;DB09328;DB11358;DB13168	PF00173;PF00487	FADS1		SMP0000018
122	FADS2	O95864	DB00132;DB11358;DB13168	PF00173;PF00487	FADS2		SMP0000018
123	FAH	P16930	DB01677;DB01762;DB01832	PF01557;PF09298	FAH		SMP0000006;SMP0000008;SMP0000169;SMP0000190;SMP0000206;SMP0000218;SMP0000369;SMP0000370;SMP0000429;SMP0000494;SMP0000498;SMP0000533
124	FARSA	Q9Y285	DB00120	PF01409	FARSA		SMP0000008;SMP0000206;SMP0000369;SMP0000370
125	FARSB	Q9NSD9	DB00120	PF03483;PF03484	FARSB		SMP0000008;SMP0000206;SMP0000369;SMP0000370
126	FASN	P49327	DB01034;DB01083	PF00107;PF00109;PF00550;PF00698;PF00975;PF02801;PF08242;PF08659;PF14765;PF16197	FASN		SMP0000456
127	FDPS	P14324	DB00282;DB00399;DB00630;DB00710;DB00884;DB01785;DB02508;DB02552;DB04714;DB06255;DB06548;DB07780;DB07841	PF00348	FDPS		SMP0000023;SMP0000079;SMP0000082;SMP0000089;SMP0000092;SMP0000095;SMP0000099;SMP0000107;SMP0000111;SMP0000112;SMP0000117;SMP0000119;SMP0000131;SMP0000209;SMP0000319;SMP0000386;SMP0000387;SMP0000388;SMP0000389;SMP0000508;SMP0000509;SMP0000510;SMP0000511
128	FKBP1A	P62942	DB00337;DB00864;DB01712;DB01723;DB01951;DB02311;DB02888;DB03338;DB03621;DB04012;DB04094;DB05814;DB08231;DB08520;DB08597	PF00254	FKBP1A		
129	FTH1	P02794	DB00893;DB01592;DB06784;DB13995;DB14488;DB14489;DB14490;DB14491;DB14501	PF00210	FTH1		
130	FTL	P02792	DB00893;DB02285;DB06784;DB09147;DB09517;DB13995	PF00210	FTL		
131	FXN	Q16595	DB01592;DB14488;DB14489;DB14490;DB14491;DB14501	PF01491	FXN		
132	FYN	P06241	DB01254;DB02078;DB12010;DB16656	PF00017;PF00018;PF07714	FYN		SMP0000358
133	G6PD	P11413	DB03085;DB03461;DB05107;DB11638	PF00479;PF02781	G6PD		SMP0000031;SMP0000518;SMP0000519;SMP0000520;SMP0000654
134	GALE	Q14376	DB01861;DB02196;DB03041;DB03095;DB03397;DB03501	PF16363	GALE		SMP0000010;SMP0000043;SMP0000182;SMP0000495;SMP0000496
135	GALK1	P51570	DB04395	PF00288;PF08544;PF10509	GALK1		SMP0000010;SMP0000043;SMP0000182;SMP0000495;SMP0000496
136	GAPDH	P04406	DB00157;DB02059;DB03893;DB07347;DB09092;DB09130;DB11638	PF00044;PF02800	GAPDH		SMP0000040;SMP0000124;SMP0000128;SMP0000355;SMP0000374;SMP0000531;SMP0000560;SMP0000562;SMP0000563;SMP0000572;SMP0000573;SMP0000574;SMP0000581;SMP0000654
137	GAPDHS	O14556	DB00157;DB01593;DB02205;DB03331;DB04477;DB11638;DB14487;DB14533;DB14548	PF00044;PF02800	GAPDHS		
138	GARS1	P41250	DB00145	PF00458;PF00587;PF03129	GARS		SMP0000004;SMP0000179;SMP0000223;SMP0000242;SMP0000244;SMP0000484;SMP0000485;SMP0000721
139	GART	P22102	DB00642;DB02236;DB03546	PF00551;PF00586;PF01071;PF02769;PF02843;PF02844	GART		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
140	GCLC	P48506	DB00142;DB00151;DB00163;DB14001;DB14002	PF03074	GCLC		SMP0000013;SMP0000015;SMP0000072;SMP0000136;SMP0000143;SMP0000183;SMP0000243;SMP0000337;SMP0000339;SMP0000385;SMP0000499;SMP0000500;SMP0000501;SMP0000567;SMP0000722
141	GCLM	P48507	DB00142;DB00151	PF00248	GCLM		SMP0000013;SMP0000015;SMP0000072;SMP0000136;SMP0000143;SMP0000183;SMP0000243;SMP0000337;SMP0000339;SMP0000385;SMP0000499;SMP0000500;SMP0000501;SMP0000567;SMP0000722
142	GFUS	Q13630	DB00157	PF01370	TSTA3		SMP0000064;SMP0000561;SMP0000725
143	GLO1	Q04760	DB00143;DB00328;DB03130;DB03330;DB03345;DB03602;DB04132;DB08179	PF00903	GLO1		SMP0000060;SMP0000196;SMP0000212;SMP0000334;SMP0000459;SMP0000558;SMP0000559
144	GLRX	P35754	DB00143	PF00462	GLRX		
145	GLUL	P15104	DB00082;DB00130;DB00134;DB00142;DB00466;DB01212;DB06774;DB08794;DB11118	PF00120;PF03951	GLUL		
146	GMDS	O60547	DB02547;DB04315	PF16363	GMDS		SMP0000064;SMP0000561;SMP0000725
147	GMPR	P36959	DB01972	PF00478	GMPR		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
148	GMPS	P49915	DB00130;DB00142;DB00993	PF00117;PF00958;PF02540	GMPS		SMP0000050;SMP0000072;SMP0000136;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000243;SMP0000339;SMP0000364;SMP0000365;SMP0000385;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537;SMP0000567;SMP0000609
149	GNPDA1	P46926	DB02379;DB02445;DB03951	PF01182	GNPDA1		SMP0000045;SMP0000216;SMP0000217;SMP0000240;SMP0000390;SMP0000534
150	GOT1	P17174	DB00114;DB00128;DB00142;DB00151;DB00210;DB04299;DB09130	PF00155	GOT1		SMP0000006;SMP0000008;SMP0000013;SMP0000020;SMP0000169;SMP0000188;SMP0000190;SMP0000206;SMP0000207;SMP0000208;SMP0000218;SMP0000360;SMP0000361;SMP0000362;SMP0000363;SMP0000369;SMP0000370;SMP0000429;SMP0000494;SMP0000498;SMP0000499;SMP0000504;SMP0000505;SMP0000506;SMP0000507;SMP0000533;SMP0000722
151	GOT2	P00505	DB00114;DB00128;DB00142;DB00151;DB02783	PF00155	GOT2		SMP0000001;SMP0000002;SMP0000003;SMP0000059;SMP0000072;SMP0000129;SMP0000136;SMP0000205;SMP0000243;SMP0000339;SMP0000357;SMP0000385;SMP0000567;SMP0002298
152	GPHN	Q9NQX3	DB01942;DB03366;DB03766	PF00994;PF03453;PF03454	GPHN		
153	GPI	P06744	DB02007;DB02076;DB02093;DB02548;DB03042;DB03581;DB03937;DB04493;DB09130;DB11638	PF00342	GPI		SMP0000031;SMP0000040;SMP0000058;SMP0000128;SMP0000374;SMP0000518;SMP0000519;SMP0000520;SMP0000531;SMP0000552;SMP0000553;SMP0000554;SMP0000555;SMP0000556;SMP0000557;SMP0000560;SMP0000562;SMP0000563;SMP0000572;SMP0000573;SMP0000574;SMP0000581;SMP0000654
154	GPT	P24298	DB00114;DB00142;DB00160;DB00780	PF00155	GPT		SMP0000001;SMP0000002;SMP0000003;SMP0000055;SMP0000059;SMP0000072;SMP0000127;SMP0000136;SMP0000205;SMP0000243;SMP0000313;SMP0000339;SMP0000350;SMP0000352;SMP0000357;SMP0000385;SMP0000567
155	GPX1	P07203	DB00143;DB03310;DB09061;DB09096;DB09221;DB11091;DB11127;DB11590;DB14009;DB14011	PF00255	GPX1		SMP0000015;SMP0000075;SMP0000077;SMP0000083;SMP0000084;SMP0000085;SMP0000086;SMP0000087;SMP0000093;SMP0000094;SMP0000096;SMP0000098;SMP0000101;SMP0000102;SMP0000104;SMP0000106;SMP0000109;SMP0000113;SMP0000114;SMP0000116;SMP0000120;SMP0000143;SMP0000183;SMP0000289;SMP0000337;SMP0000353;SMP0000500;SMP0000501;SMP0000692;SMP0000693;SMP0000694;SMP0000695;SMP0000696;SMP0000697;SMP0000698;SMP0000699;SMP0000700;SMP0000701;SMP0000702;SMP0000703;SMP0000704;SMP0000705;SMP0000706;SMP0000707;SMP0000708;SMP0000709;SMP0000710
156	GPX4	P36969	DB00143;DB03310;DB09096	PF00255	GPX4		
157	GRIA1	P42261	DB00142;DB00237;DB00555;DB00753;DB00898;DB01028;DB01189;DB01236;DB04982;DB05047;DB06247;DB08883;DB09289;DB13146	PF00060;PF01094;PF10613	GRIA1		
158	GSK3A	P49840	DB12010	PF00069	GSK3A		
159	GSR	P00390	DB00143;DB00157;DB00262;DB01644;DB02153;DB02553;DB02895;DB03147;DB03310;DB03867;DB07393;DB07714;DB09061;DB09130;DB11135;DB11590;DB14009;DB14011	PF02852;PF07992	GSR		SMP0000015;SMP0000072;SMP0000136;SMP0000143;SMP0000183;SMP0000243;SMP0000337;SMP0000339;SMP0000385;SMP0000500;SMP0000501;SMP0000567
160	GSS	P48637	DB00143;DB00145;DB00151;DB03408;DB04395;DB06151;DB09130	PF03199;PF03917	GSS		SMP0000015;SMP0000072;SMP0000136;SMP0000143;SMP0000183;SMP0000243;SMP0000337;SMP0000339;SMP0000385;SMP0000500;SMP0000501;SMP0000567
161	GSTA2	P09210	DB00143;DB00163;DB00291;DB00321;DB00608;DB00636;DB00903;DB00993;DB01008;DB03310;DB03619;DB14001;DB14002	PF00043;PF02798	GSTA2		
162	GSTM1	P09488	DB00143;DB00291;DB00316;DB00321;DB00515;DB00526;DB00608;DB00958;DB00993;DB01008;DB01020;DB01834;DB02165;DB02458;DB03310;DB03314;DB03619;DB04187;DB11672;DB14924	PF00043;PF02798	GSTM1		SMP0000447;SMP0000604
