genes	ensembl	uniprot	hgnc.symbol	ncbigene
ABCA1	ENSG00000165029	O95477	ABCA1	19
ABO
ACER2	ENSG00000177076	Q5QJU3	ACER2	340485
ALPL	ENSG00000162551	P05186	ALPL	249
B3GALNT1	ENSG00000169255	O75752	B3GALNT1	8706
C1GALT1	ENSG00000106392	Q9NS00	C1GALT1	56913
C1GALT1C1	ENSG00000171155	Q96EU7	C1GALT1C1	29071
CA4	ENSG00000167434	P22748	CA4	762
CACNA1A
CDK4
CFTR
CKB	ENSG00000166165	P12277	CKB	1152
CLCN2
ENTPD1	ENSG00000138185	P49961	ENTPD1	953
FADS1	ENSG00000149485	O60427	FADS1	3992
FADS2	ENSG00000134824	O95864	FADS2	9415
FUT1	ENSG00000174951	P19526	FUT1	2523
FXN	ENSG00000165060	Q16595	FXN	2395
GCNT2	ENSG00000111846	Q8N0V5	GCNT2	2651
GRIA1
HEXA	ENSG00000213614	P06865	HEXA	3073
HNMT	ENSG00000150540	P50135	HNMT	3176
HPGDS	ENSG00000163106	O60760	HPGDS	27306
JAK3
MAPKAPK2
NOS3	ENSG00000164867	P29474	NOS3	4846
P2RX1
P2RX2
PCK1	ENSG00000124253	P35558	PCK1	5105
PDE5A	ENSG00000138735	O76074	PDE5A	8654
PDE9A	ENSG00000160191	O76083	PDE9A	5152
PEMT	ENSG00000133027	Q9UBM1	PEMT	10400
PRKCA
PRKCZ
PRKD1	ENSG00000184304	Q15139	PRKD1	5587
PRKG1
PTGS2	ENSG00000073756	P35354	PTGS2	5743
PTPN3
PTS	ENSG00000150787	Q03393	PTS	5805
RAB3C
RPS6KA4
RPS6KA5
SCD	ENSG00000099194	O00767	SCD	6319
SCN4A	ENSG00000007314	P35499	SCN4A	6329
SCN9A	ENSG00000169432	Q15858	SCN9A	6335
SLC12A4	ENSG00000124067	Q9UP95	SLC12A4	6560
SLC17A7	ENSG00000104888	Q9P2U7	SLC17A7	57030
SLC19A2	ENSG00000117479	O60779	SLC19A2	10560
SLC1A1	ENSG00000106688	P43005	SLC1A1	6505
SLC22A16	ENSG00000004809	Q86VW1	SLC22A16	85413
SLC22A4	ENSG00000197208	Q9H015	SLC22A4	6583
SLC22A7	ENSG00000137204	Q9Y694	SLC22A7	10864
SLC25A31
SLC39A10	ENSG00000196950	Q9ULF5	SLC39A10	57181
SLC39A8	ENSG00000138821	Q9C0K1	SLC39A8	64116
SLC41A1	ENSG00000133065	Q8IVJ1	SLC41A1	254428
SLC52A1	ENSG00000132517	Q9NWF4	SLC52A1	55065
SLC9A1	ENSG00000090020	P19634	SLC9A1	6548
SLC9B2
SMPD1	ENSG00000166311	P17405	SMPD1	6609
SPHK1	ENSG00000176170	Q9NYA1	SPHK1	8877
TRPC6
TSPO2
SLC16A7	ENSG00000118596	O60669	SLC16A7	9194
ALDOB	ENSG00000136872	P05062	ALDOB	229
ENO3	ENSG00000108515	P13929	ENO3	2027
ACYP2	ENSG00000170634	P14621	ACYP2	98
CDK2
CDC34	ENSG00000099804	P49427	CDC34	997
ALDH3A2	ENSG00000072210	P51648	ALDH3A2	224
ACTC1
ACTA1
CSNK1G2	ENSG00000133275	P78368	CSNK1G2	1455
CDK6
CDK5
FKBP3	ENSG00000100442	Q00688	FKBP3	2287
SLC7A5	ENSG00000103257	Q01650	SLC7A5	8140
ACY1	ENSG00000243989	Q03154	ACY1	95
FKBP5	ENSG00000096060	Q13451	FKBP5	2289
CMPK2	ENSG00000134326	Q5EBM0	CMPK2	129607
EMB
TXNDC5
BHMT	ENSG00000145692	Q93088	BHMT	635
DUSP23
BMP2K
SMPD3	ENSG00000103056	Q9NY59	SMPD3	55512
DNM3	ENSG00000197959	Q9UQ16	DNM3	26052
ARF1
ACER3	ENSG00000078124	Q9NUN7	ACER3	55331
ACTG2
ADO	ENSG00000181915	Q96SZ5	ADO	84890
AFMID	ENSG00000183077	Q63HM1	AFMID	125061
ATG14
ATP1A4	ENSG00000132681	Q13733	ATP1A4	480
ATP6AP2
ATP6V0B	ENSG00000117410	Q99437	ATP6V0B	533
ATP6V0D1	ENSG00000159720	P61421	ATP6V0D1	9114
ATP6V0E1	ENSG00000113732	O15342	ATP6V0E1	8992
BECN1
CAB39
CAB39L
CDC37
CLCN4
CLCN5
CLNS1A
CP	ENSG00000047457	P00450	CP	1356
CRPPA
CRYL1	ENSG00000165475	Q9Y2S2	CRYL1	51084
CUL2
CUL3
CUL4A
CUL4B
CUL5
DCAF11
DCAF6
DCAF7
DDB1
DERL1
DPYD	ENSG00000188641	Q12882	DPYD	1806
ELOB
ELOC
EPHX2	ENSG00000120915	P34913	EPHX2	2053
FAF1
FAF2
FAHD1	ENSG00000180185	Q6P587	FAHD1	81889
FBXL20
FBXO4
FBXO7
FLVCR1
GALK2	ENSG00000156958	Q01415	GALK2	2585
GALNT10	ENSG00000164574	Q86SR1	GALNT10	55568
GALNT5	ENSG00000136542	Q7Z7M9	GALNT5	11227
GALNT6	ENSG00000139629	Q8NCL4	GALNT6	11226
GALNT7	ENSG00000109586	Q86SF2	GALNT7	51809
GCH1	ENSG00000131979	P30793	GCH1	2643
GSTM5	ENSG00000134201	P46439	GSTM5	2949
GUSB	ENSG00000169919	P08236	GUSB	2990
HAL	ENSG00000084110	P42357	HAL	3034
HBQ1
HRAS
HSP90AB1
IDH2	ENSG00000182054	P48735	IDH2	3418
IMPA2	ENSG00000141401	O14732	IMPA2	3613
KCNAB2
KLHL18
KYAT1	ENSG00000171097	Q16773	KYAT1	883
MAPK14
MDH2	ENSG00000146701	P40926	MDH2	4191
MPO	ENSG00000005381	P05164	MPO	4353
MSRA	ENSG00000175806	Q9UJ68	MSRA	4482
MTMR1	ENSG00000063601	Q13613	MTMR1	8776
MTMR12	ENSG00000150712	Q9C0I1	MTMR12	54545
MTMR2	ENSG00000087053	Q13614	MTMR2	8898
NAE1	ENSG00000159593	Q13564	NAE1	8883
NEDD8
NEU1	ENSG00000204386	Q99519	NEU1	4758
NEU2	ENSG00000115488	Q9Y3R4	NEU2	4759
NEU3	ENSG00000162139	Q9UQ49	NEU3	10825
NPLOC4
NSFL1C
PIK3R4
PLAA
PRKAR2A
PTGS1	ENSG00000095303	P23219	PTGS1	5742
PYGL	ENSG00000100504	P06737	PYGL	5836
PYGM	ENSG00000068976	P11217	PYGM	5837
QPRT	ENSG00000103485	Q15274	QPRT	23475
SBF1
SDSL	ENSG00000139410	Q96GA7	SDSL	113675
SLC16A9	ENSG00000165449	Q7RTY1	SLC16A9	220963
SLCO1A2	ENSG00000084453	P46721	SLCO1A2	6579
SLCO2B1	ENSG00000137491	O94956	SLCO2B1	11309
SLK
ST3GAL1	ENSG00000008513	Q11201	ST3GAL1	6482
ST3GAL2	ENSG00000157350	Q16842	ST3GAL2	6483
STRADB
TMEM109
TRIM58
UAP1	ENSG00000117143	Q16222	UAP1	6675
UBA3	ENSG00000144744	Q8TBC4	UBA3	9039
UBE2M	ENSG00000130725	P61081	UBE2M	9040
UBE2N	ENSG00000177889	P61088	UBE2N	7334
UBE2V1
UBE2V2
UBXN1
UBXN6
UBXN7
UFD1
USP5	ENSG00000111667	P45974	USP5	8078
VCPIP1
VPS4B
WDR77
YES1
