genes	uniprot	uniprot.isoform	uniprot.chain	hgnc.symbol	ec-code	taxonomy	uniparc	rhea	go	ccds	ena.embl	refseq	bmrb	pdb	sasbdb	smr	biogrid	complexportal	dip	intact	chembl.target	drugbank	iuphar.receptor	cazy	ideal	merops	peroxibase	tcdb	dbsnp	proteomicsdb.protein	ensembl	ncbigene	kegg.genes	genecards	hgnc	hpa	mim	nextprot	orphanet	pharmgkb.gene	eggnog	genetree	hogenom	oma.grp	orthodb	treefam	biocyc	brenda	reactome	genewiki	bgee.gene	cdd	disprot	hamap	interpro	panther.family	pfam	pirsf	prints	prosite	smart	supfam	chromosome
MSRA	Q9UJ68	Q9UJ68-1;Q9UJ68-2;Q9UJ68-3;Q9UJ68-4;Q9UJ68-5	PRO_0000138626	MSRA	1.8.4.11	9606	UPI0000039C0C	14217;19993	0005654;0005737;0005739;0005829;0006555;0006979;0008113;0016020;0016604;0030091;0034599;0036211;0036456;0070062	CCDS47798.1;CCDS47799.1;CCDS56522.1;CCDS5975.1	AJ242973;AY690665;AY958429;AY958430;AY958431;AY958432;AK293488;AF086925;AF183420;AC023385;AC034111;AC079200;AC112673;CH471157;BC054033	NP_001129142.1;NP_001129143.1;NP_001186658.1;NP_036463.1;XP_016868938.1;XP_016868939.1;XP_054188222.1;XP_054216475.1				Q9UJ68	110588			Q9UJ68		DB04447;DB00134								84588;84589;84590;84591;84592	ENST00000317173.9;ENST00000382490.9;ENST00000441698.6;ENST00000528246.5;ENST00000643047.1;ENST00000643332.1;ENST00000645254.1;ENST00000645318.2	4482	hsa:4482	MSRA	7377	ENSG00000175806	601250	NX_Q9UJ68		PA31182	KOG1635	ENSGT00390000003823	CLU_031040_10_3_1	LFWESHD	77405at2759	TF353884		1.8.4.11	R-HSA-5676934	MSRA_(gene)	ENSG00000175806			MF_01401	IPR002569;IPR036509;IPR050162	PTHR42799;PTHR42799:SF2	PF01625					SSF55068	8
MTAP	Q13126	Q13126-1;Q13126-2;Q13126-3;Q13126-4;Q13126-5;Q13126-6;Q13126-7	PRO_0000184545	MTAP	2.4.2.28	9606	UPI0000110BBE	11852	0004645;0005654;0005829;0006139;0006166;0017061;0019509;0032259;0033574;0070062	CCDS6509.1;CCDS94391.1	U22233;L40432;L42634;L42627;L42628;L42629;L42630;L42631;L42632;L42633;HE654772;HE654773;HE654774;HE654775;HE654776;HE654777;AY712791;AL359922;CH471071;BC026106	NP_001382970.1;NP_001382971.1;NP_001382972.1;NP_001382973.1;NP_001382974.1;NP_002442.2		1CB0;1CG6;1K27;1SD1;1SD2;3LN5;3OZC;3OZD;3OZE;5EUB;5TC5;5TC6;5TC7;5TC8;6DYZ;6DZ0;6DZ2;6DZ3		Q13126	110611			Q13126	CHEMBL4941	DB02158;DB02933;DB02282;DB00173;DB02281							rs7023954	59174	ENST00000580900.5;ENST00000644715.2	4507	hsa:4507	MTAP	7413	ENSG00000099810	112250;156540	NX_Q13126	85182	PA31220	KOG3985	ENSGT00950000182991		ADPFCPE	431409at2759	TF312883	MetaCyc:HS01913-MONOMER	2.4.2.28	R-HSA-1237112;R-HSA-8950505	MTAP	ENSG00000099810	cd09010		MF_01963	IPR010044;IPR000845;IPR035994;IPR018099	PTHR42679;PTHR42679:SF2	PF01048			PS01240		SSF53167	9
MTHFD1	P11586		PRO_0000423280;PRO_0000199321	MTHFD1	1.5.1.5;3.5.4.9;6.3.4.3	9606	UPI000013C6FA	22812;23700;20221	0001780;0001843;0004329;0004477;0004486;0004487;0004488;0005524;0005739;0005829;0006164;0006555;0006730;0007507;0009069;0009070;0009086;0009152;0009257;0016020;0019346;0035999;0048702;0048703;0061053;0070062	CCDS9763.1	J04031;AK312361;GQ891332;AL122035;CH471061;BC001014;BC009806;BC050420	NP_005947.3		1A4I;1DIA;1DIB;1DIG;6ECP;6ECQ;6ECR		P11586	110622		DIP-33682N	P11586	CHEMBL2541	DB04322;DB02358;DB00157;DB03461;DB00116							rs370444838;rs1555336810;rs1950902;rs4902283;rs141210410;rs771978838;rs34181110;rs2236225;rs10813;rs17857382	32586;52794	ENST00000651537.1;ENST00000652337.1	4522	hsa:4522	MTHFD1	7432	ENSG00000100714	114500;172460;601634;617780	NX_P11586	658813	PA31236	KOG4230	ENSGT00940000154746	CLU_034045_3_0_1	QPIMFRR	1845775at2759	TF300623	MetaCyc:HS02138-MONOMER	1.5.1.5;3.5.4.9;6.3.3.2;6.3.4.3	R-HSA-196757	MTHFD1	ENSG00000100714	cd00477;cd01080		MF_01543;MF_01576	IPR046346;IPR000559;IPR020628;IPR036291;IPR027417;IPR000672;IPR020630;IPR020867;IPR020631	PTHR48099:SF1;PTHR48099	PF01268;PF00763;PF02882		PR00085	PS00721;PS00722;PS00766;PS00767		SSF53223;SSF51735;SSF52540	14
MTM1	Q13496	Q13496-1;Q13496-2	PRO_0000094930	MTM1	3.1.3.95	9606	UPI000012F7F5	12316;39019;42328;45632;45636	0000045;0001726;0004438;0004721;0005737;0005770;0005829;0005886;0006470;0006661;0007005;0008333;0015031;0016020;0019215;0030175;0031674;0031929;0032007;0032435;0035091;0043161;0043491;0044088;0045109;0046716;0046856;0048311;0048630;0048633;0051898;0052629;1902902	CCDS14694.1	U46024;AF020676;AF020664;AF020665;AF020666;AF020667;AF020668;AF020669;AF020670;AF020671;AF020672;AF020673;AF020674;AF020675;AK297021;AC109994;AF002223;CH471169;BC030779	NP_000243.1;NP_001363836.1;NP_001363837.1;XP_005274744.1;XP_011529475.1;XP_016885039.1				Q13496	110630		DIP-61934N	Q13496									rs587783788;rs587783796;rs132630304;rs587783809;rs587783816;rs132630307;rs587783832;rs587783835;rs587783836;rs132630302;rs587783841;rs587783848;rs587783850;rs587783851;rs132630305;rs587783856;rs587783754;rs587783755;rs587783759;rs132630303;rs587783762;rs1569565525;rs781933660;rs587783764;rs587783772;rs886044782;rs886044783;rs587783789;rs587783801	59495;6581	ENST00000370396.7;ENST00000685944.1;ENST00000689694.1	4534	hsa:4534	MTM1	7448	ENSG00000171100	300415;310400	NX_Q13496	596;456328	PA31251	KOG4471	ENSGT00940000157029	CLU_001839_4_1_1	PFRATDE	271628at2759	TF315197		3.1.3.64;3.1.3.95	R-HSA-1660499;R-HSA-1660516;R-HSA-1660517	Myotubularin_1	ENSG00000171100	cd13355;cd14591			IPR004182;IPR030564;IPR010569;IPR011993;IPR029021;IPR016130;IPR003595;IPR000387	PTHR10807:SF69;PTHR10807	PF02893;PF06602			PS51339;PS00383;PS50056	SM00568;SM00404	SSF52799;SSF50729	X
MTMR1	Q13613	Q13613-1;Q13613-2	PRO_0000094932	MTMR1	3.1.3.-;3.1.3.95	9606	UPI0000167F8A	12316;42328;39019	0004438;0005737;0005829;0005886;0006661;0016020;0031648;0042803;0046856;0052629;0060304	CCDS14695.1	AF002223;CH471169;AJ224979;AF057354;U58032	NP_003819.1;XP_006724918.1;XP_054184016.1		5C16		Q13613	114306			Q13613										59598;59599	ENST00000370390.7;ENST00000485376.5	8776	hsa:8776	MTMR1	7449	ENSG00000063601	300171	NX_Q13613		PA31252	KOG4471	ENSGT00940000153669			271628at2759	TF315197		3.1.3.95	R-HSA-1660499;R-HSA-9035034	MTMR1	ENSG00000063601	cd13358;cd14592			IPR004182;IPR037857;IPR030587;IPR030564;IPR010569;IPR011993;IPR029021;IPR016130;IPR003595;IPR000387	PTHR10807;PTHR10807:SF40	PF02893;PF06602			PS51339;PS00383;PS50056	SM00568;SM00404	SSF52799;SSF50729	X
MTMR12	Q9C0I1	Q9C0I1-1;Q9C0I1-2;Q9C0I1-3	PRO_0000315825	MTMR12		9606	UPI00001678D2		0004438;0005737;0005829;0016020;0016529;0030017;0046856	CCDS34138.1;CCDS75230.1;CCDS77998.1	AY028703;AB051469;AK000483;BC057393;AL833231	NP_001035536.1;NP_001281272.1;NP_001281273.1				Q9C0I1	120032			Q9C0I1										80050;80051;80052	ENST00000264934.5;ENST00000280285.9;ENST00000382142.8	54545	hsa:54545	MTMR12	18191	ENSG00000150712	606501	NX_Q9C0I1		PA128394670	KOG1089	ENSGT00940000160263	CLU_021912_2_0_1	DVLRFQG	271628at2759	TF315197		3.1.3.64	R-HSA-1660516		ENSG00000150712	cd14594			IPR022587;IPR030576;IPR030564;IPR010569;IPR011993;IPR029021	PTHR10807;PTHR10807:SF37	PF12578;PF06602			PS51339		SSF52799;SSF50729	5
MTMR2	Q13614	Q13614-1;Q13614-2	PRO_0000094934	MTMR2	3.1.3.95	9606	UPI00001AF36F	39019;12316;42328;45632	0002091;0004438;0005634;0005737;0005774;0005829;0006661;0008021;0014069;0016020;0030424;0030425;0031642;0031901;0032288;0042802;0043197;0043231;0045806;0046856;0048471;0048666;0052629;0060304;0070062;0090394;0097060;0097062;2000643;2000645	CCDS8305.1;CCDS8306.1	AB028996;AK302940;AP000870;AP001877;CH471065;BC052990;U58033	NP_001230500.1;NP_057240.3;NP_958435.1;NP_958438.1;XP_005274431.1;XP_005274432.1;XP_006718997.1;XP_006718998.1;XP_006718999.1;XP_016874006.1;XP_016874007.1;XP_047283762.1;XP_047283763.1;XP_047283764.1;XP_054226342.1;XP_054226343.1;XP_054226344.1		1LW3;1M7R;1ZSQ;1ZVR;5GNH		Q13614	114415			Q13614									rs3824874;rs1590983932;rs558018	1592;59600	ENST00000346299.10;ENST00000352297.11;ENST00000393223.8;ENST00000409459.5;ENST00000444541.7;ENST00000470293.6;ENST00000481642.6;ENST00000484818.6;ENST00000495134.6;ENST00000497683.6;ENST00000674528.1;ENST00000674610.1;ENST00000674924.1;ENST00000674968.1;ENST00000674989.1;ENST00000675174.1;ENST00000675196.1;ENST00000675362.1;ENST00000675454.1;ENST00000675477.1;ENST00000675489.1;ENST00000675636.1;ENST00000675652.1;ENST00000675933.1;ENST00000675981.1;ENST00000676166.1;ENST00000676261.1;ENST00000676272.1;ENST00000676378.1;ENST00000676440.1	8898	hsa:8898	MTMR2	7450	ENSG00000087053	601382;603557	NX_Q13614	99955	PA31253	KOG4471	ENSGT00940000153669		WRATKIN	271628at2759	TF315197		3.1.3.64;3.1.3.95	R-HSA-1483248;R-HSA-1660499;R-HSA-1660516;R-HSA-1660517	MTMR2	ENSG00000087053	cd14590			IPR004182;IPR030564;IPR010569;IPR011993;IPR029021;IPR016130;IPR003595;IPR000387	PTHR10807;PTHR10807:SF42	PF02893;PF06602			PS51339;PS00383;PS50056	SM00568;SM00404	SSF52799;SSF50729	11
MVD	P53602		PRO_0000087012	MVD	4.1.1.33	9606	UPI000012A0C6	23732	0004163;0005524;0005829;0006695;0008284;0008299;0019287;0030544;0042803	CCDS10968.1	U49260;BT006930;CH471184;BC000011	NP_002452.1		3D4J		P53602	110682			P53602	CHEMBL4340		642						rs200033380;rs776358937;rs144010349;rs770939767;rs776684503;rs761991070;rs34519538;rs755948940;rs764836183;rs546127665	56588	ENST00000301012.8	4597	hsa:4597	MVD	7529	ENSG00000167508	603236;614714	NX_P53602	79152	PA31330	KOG2833	ENSGT00390000015359	CLU_040369_4_4_1	LTLHAMM	10253702at2759	TF105952	MetaCyc:ENSG00000167508-MONOMER	4.1.1.33	R-HSA-191273;R-HSA-2426168;R-HSA-446199		ENSG00000167508				IPR036554;IPR005935;IPR029765;IPR053859;IPR041431;IPR020568;IPR014721	PTHR10977;PTHR10977:SF3	PF18376;PF22700	PIRSF015950				SSF55060;SSF54211	16
NADK2	Q4G0N4	Q4G0N4-1;Q4G0N4-2;Q4G0N4-3	PRO_0000296292	NADK2	2.7.1.23	9606	UPI000150640C	18629	0003951;0005524;0005739;0005759;0006741;0019674;0042803	CCDS3917.1;CCDS47197.1	AK055158;AC008807;AC008942;BC045565;BC062567;AY360463	NP_001078880.1;NP_001274269.1;NP_001274270.1;NP_694558.1;XP_047272662.1;XP_054207570.1		7N29;7R4J;7R4K;7R4L;7R4M		Q4G0N4	126369			Q4G0N4										62113;62114;62115	ENST00000282512.7;ENST00000381937.9;ENST00000397338.5;ENST00000514504.5	133686	hsa:133686	NADK2	26404	ENSG00000152620	615787;616034	NX_Q4G0N4	431361	PA162380039	KOG4180	ENSGT00390000006320	CLU_039559_0_0_1	WHFNINK	185618at2759	TF314077		2.7.1.23	R-HSA-196807;R-HSA-9837999		ENSG00000152620				IPR017438;IPR017437;IPR016064;IPR002504;IPR012355	PTHR13158;PTHR13158:SF5	PF01513	PIRSF017565				SSF111331	5
NADSYN1	Q6IA69	Q6IA69-1;Q6IA69-2	PRO_0000237577	NADSYN1	6.3.5.1	9606	UPI00001404C2	24384	0003952;0004359;0005524;0005737;0005829;0009435;0034627	CCDS8201.1	AB091316;AK001493;AK022436;AK097946;CR457286;AP000867;AP002387;CH471076;BC003638;BC003666	NP_060631.2		6OFB		Q6IA69	120488			Q6IA69		DB00142;DB00130							rs769220327;rs2276360;rs189928649;rs7950441;rs7121106;rs144139747;rs35007971;rs12282060	3734;66358	ENST00000319023.7	55191	hsa:55191	NADSYN1	29832	ENSG00000172890	608285;618845	NX_Q6IA69	521438	PA142671299	KOG2303	ENSGT00390000010152	CLU_011884_2_0_1	TSQEVCN	2020662at2759	TF351426	MetaCyc:HS10587-MONOMER	6.3.5.1	R-HSA-196807	NADSYN1	ENSG00000172890	cd07570;cd00553		MF_02090	IPR003010;IPR036526;IPR014445;IPR022310;IPR003694;IPR014729	PTHR23090:SF9;PTHR23090	PF00795;PF02540	PIRSF006630		PS50263		SSF52402;SSF56317	11
NAE1	Q13564	Q13564-1;Q13564-2;Q13564-3;Q13564-4	PRO_0000194951	NAE1		9606	UPI000006EBDC		0005737;0005829;0005886;0007165;0019781;0031625;0032991;0033314;0042981;0043523;0045116;0046982;0051402;0098978;0150052	CCDS10820.1;CCDS42171.1;CCDS42172.1;CCDS67050.1	U50939;AY197612;AK097680;AK298159;AK312784;AC004638;AC044802;AL136798;CH471092;BC000480;BC013301	NP_001018169.1;NP_001018170.1;NP_001273429.1;NP_003896.1;XP_005256272.1;XP_011521724.1;XP_047290791.1;XP_054170236.1		1R4M;1R4N;1TT5;1YOV;2NVU;3DBH;3DBL;3DBR;3GZN		Q13564	114402	CPX-2587		Q13564	CHEMBL2016431	DB00171							rs760101172;rs752555475;rs363212;rs777573115;rs1959664594	2076;59567;59568;840	ENST00000290810.8;ENST00000359087.8;ENST00000379463.6;ENST00000394074.6	8883	hsa:8883	NAE1	621	ENSG00000159593	603385;620210	NX_Q13564		PA162396730	KOG2016	ENSGT00550000074901	CLU_019618_2_1_1	KLITHQY	1708823at2759	TF313972	MetaCyc:ENSG00000159593-MONOMER	6.2.1.64	R-HSA-8951664	APPBP1	ENSG00000159593	cd01493			IPR030667;IPR045886;IPR000594;IPR035985	PTHR10953:SF29;PTHR10953	PF00899	PIRSF039099				SSF69572	16
NAGK	Q9UJ70	Q9UJ70-1;Q9UJ70-2	PRO_0000096696	NAGK	2.7.1.-;2.7.1.59;2.7.1.60	9606	UPI000012FD0A	17417;25253;75935	0005524;0005829;0006044;0006046;0006048;0006051;0019262;0032495;0042742;0045087;0045127;0070062;0070434;0160047	CCDS33220.3	AJ242910;AK001812;AK297224;CR457271;AK222645;AC007881;CH471053;BC001029;BC005371	NP_060037.3		2CH5;2CH6		Q9UJ70	120728			Q9UJ70	CHEMBL4295978	DB00141							rs17856147;rs17849984	84593	ENST00000244204.11;ENST00000455662.6;ENST00000613852.4	55577	hsa:55577	NAGK	17174	ENSG00000124357	606828	NX_Q9UJ70		PA31436	KOG1794	ENSGT00510000047418			311172at2759	TF314158		2.7.1.59	R-HSA-446210	NAGK	ENSG00000124357	cd24078			IPR002731;IPR043129;IPR039758	PTHR12862;PTHR12862:SF0	PF01869					SSF53067	2
NAMPT	P43490		PRO_0000205863	NAMPT	2.4.2.12	9606	UPI0000131383	16149	0005125;0005829;0006954;0007165;0007267;0008284;0009435;0010628;0016607;0030054;0032922;0034356;0042802;0043123;0045944;0047280;0070062;0070374	CCDS5737.1	U02020;AK292851;AC007032;CH236947;CH471070;BC072439;BC106046	NP_005737.1;XP_005250157.1;XP_047275655.1;XP_054212959.1		2E5B;2E5C;2E5D;2GVG;2GVJ;3DGR;3DHD;3DHF;3DKJ;3DKL;4JNM;4JR5;4KFN;4KFO;4KFP;4L4L;4L4M;4LTS;4LV9;4LVA;4LVB;4LVD;4LVF;4LVG;4LWW;4M6P;4M6Q;4N9B;4N9C;4N9D;4N9E;4O0Z;4O10;4O12;4O13;4O14;4O15;4O16;4O17;4O18;4O19;4O1A;4O1B;4O1C;4O1D;4O28;4WQ6;5KIT;5LX3;5LX5;5NSD;5U2M;5U2N;5UPE;5UPF;5WI0;5WI1;6ATB;6AZJ;6B75;6B76;6E68;6PEB;6TA0;6TA2;6TAC;7ENQ;7PPE;7PPF;7PPG;7PPH;7PPI;8DSC;8DSD;8DSE;8DSH;8DSI;8DSM;8DTJ;8F7L;8IVU;8TM7	P43490	P43490	115438		DIP-29218N	P43490	CHEMBL1744525	DB12980;DB12731;DB05217								55638	ENST00000222553.8;ENST00000424768.2;ENST00000681255.1;ENST00000681491.1	10135	hsa:10135	NAMPT	30092	ENSG00000105835	608764	NX_P43490		PA162396933	ENOG502QSGN	ENSGT00940000153456	CLU_012550_2_0_1	TFGFAMK	193380at2759	TF333530		2.4.2.12	R-HSA-1368108;R-HSA-197264;R-HSA-9768919	Nicotinamide_phosphoribosyltransferase	ENSG00000105835	cd01569			IPR013785;IPR041529;IPR041525;IPR016471;IPR036068	PTHR43816;PTHR43816:SF1	PF18127;PF04095	PIRSF005943				SSF51690	7
NANP	Q8TBE9		PRO_0000083938	NANP	3.1.3.29	9606	UPI0000070FB9	80839;83303	0005829;0006045;0006055;0046380;0050124;0070085	CCDS13173.1	AK055472;AK074335;AL031673;CH471133;BC022552	NP_689880.1	Q8TBE9	2W4M;4KNV;4KNW		Q8TBE9	126729			Q8TBE9	CHEMBL2401602									74002	ENST00000304788.4	140838	hsa:140838	NANP	16140	ENSG00000170191	610763	NX_Q8TBE9		PA25689	KOG3085	ENSGT00390000003094	CLU_045011_8_2_1	PQETHDT	1694274at2759	TF324589	MetaCyc:HS10082-MONOMER		R-HSA-4085001		ENSG00000170191	cd04305			IPR051400;IPR036412;IPR006439;IPR011950;IPR023214	PTHR46470;PTHR46470:SF3	PF00702		PR00413			SSF56784	20
NANS	Q9NR45		PRO_0000097750	NANS	2.5.1.132;2.5.1.57	9606	UPI000013597F	80835;49200	0005737;0005829;0006055;0016051;0046380;0047444;0050462;0070062;0070085	CCDS6733.1	AF257466;AK001659;AK316608;AL137073;CH471105;BC000008;BC019315	NP_061819.2;XP_054219089.1		1WVO		Q9NR45	119921			Q9NR45									rs1277263564;rs1058446;rs878852980;rs140402727;rs878852981;rs1024025721;rs878852982	82270	ENST00000210444.6	54187	hsa:54187	NANS	19237	ENSG00000095380	605202;610442	NX_Q9NR45	168454	PA134978885	ENOG502QR5J	ENSGT00390000011081	CLU_040465_1_0_1	MTYIDYR	9928645at2759	TF324826	MetaCyc:HS01818-MONOMER	2.5.1.132;2.5.1.56;2.5.1.57	R-HSA-4085001	NANS	ENSG00000095380	cd11615			IPR006190;IPR036732;IPR013785;IPR006013;IPR013132;IPR051690;IPR013974	PTHR42966;PTHR42966:SF1	PF03102;PF08666		PR00357	PS50844	SM00858	SSF51269;SSF51569	9
NAPEPLD	Q6IQ20		PRO_0000318159	NAPEPLD	3.1.4.54	9606	UPI00001D74C6	33159;45620;45616;45612;45608;45556;45552;45540;45596;45536;45532;56548;45528;56464;53164;45592;45544	0000139;0001659;0005635;0005654;0005737;0005769;0005794;0008270;0009395;0030868;0031901;0032052;0042622;0042734;0042802;0043005;0043025;0045211;0048874;0050729;0070062;0070290;0070291;0070292;0090336;0098686	CCDS5729.1	AY357337;AB112352;CR936639;CH471070;BC071604	NP_001116310.1;NP_001373105.1;NP_001373106.1;NP_001373108.1;NP_001373111.1;NP_001373114.1;NP_001373119.1;NP_001373120.1;NP_001373122.1;NP_001373123.1;NP_001373133.1;NP_001373137.1;NP_001373138.1;NP_001373141.1;NP_001373142.1;NP_945341.3;XP_005250271.2;XP_005250272.1;XP_005250275.1;XP_011514235.1;XP_016867343.1;XP_016867344.1		4QN9;8P90;8P96;8PC4		Q6IQ20	128793		DIP-61398N	Q6IQ20	CHEMBL4630839	DB14009	1398						rs12540583;rs3181009	66476	ENST00000341533.8;ENST00000417955.5;ENST00000422589.5;ENST00000427257.5;ENST00000465647.6;ENST00000611100.2;ENST00000622712.4;ENST00000632159.1;ENST00000632703.1;ENST00000633783.1	222236	hsa:222236	NAPEPLD	21683	ENSG00000161048	612334	NX_Q6IQ20		PA162396960	KOG3798	ENSGT00390000017990	CLU_020884_2_1_1	QHWTRRT	332863at2759	TF313520	MetaCyc:ENSG00000161048-MONOMER	3.1.4.54	R-HSA-2466712		ENSG00000161048				IPR001279;IPR024884;IPR036866	PTHR15032;PTHR15032:SF4	PF12706	PIRSF038896				SSF56281	7
NAPRT	Q6XQN6	Q6XQN6-1;Q6XQN6-2;Q6XQN6-3	PRO_0000315681	NAPRT	6.3.4.21	9606	UPI000058EC33	36163	0004516;0005576;0005829;0006979;0016740;0034355;0035578;0046872;0070062	CCDS6403.2;CCDS69555.1	AB242230;AY214325;AY214326;AY214327;BC006284;BC032466	NP_001273758.1;NP_660202.3;XP_016869469.1		4YUB		Q6XQN6	125001			Q6XQN6	CHEMBL4523354								rs896950	67810;67811;67812	ENST00000426292.7;ENST00000449291.7;ENST00000621955.1;ENST00000632139.1	93100	hsa:93100	NAPRT	30450	ENSG00000147813	611552	NX_Q6XQN6		PA142671293	KOG2511	ENSGT00940000153456		VYFPGSP	193380at2759	TF314732		6.3.4.21	R-HSA-197264;R-HSA-6798695		ENSG00000147813	cd01570			IPR013785;IPR041619;IPR040727;IPR007229;IPR006405;IPR036068	PTHR11098;PTHR11098:SF1	PF17956;PF17767	PIRSF000484				SSF51690;SSF54675	8
NARS1	O43776	O43776-1;O43776-2	PRO_0000176496	NARS1	6.1.1.22	9606	UPI00001365E8	11180	0003676;0004816;0005524;0005737;0005829;0006418;0006421;0016477;0021987;0031728;0046983;0070062	CCDS32837.1	AJ000334;D84273;AK294364;AC100847;AK222835;BC001687	NP_004530.1		4ZYA;5XIX;8H53;8TC7;8TC8;8TC9		O43776	110758			O43776		DB00174							rs771435243;rs148893823;rs2122452114;rs1402942713;rs2122429938;rs2122428612;rs138016359;rs769070609;rs774597440;rs2122416610;rs770931044	4098;49167	ENST00000256854.10;ENST00000540592.5	4677	hsa:4677	NARS1	7643	ENSG00000134440	108410;619091;619092	NX_O43776		PA31447	KOG0555	ENSGT01030000234618	CLU_004553_2_10_1	DCCLYPR	1931232at2759	TF105664		6.1.1.22	R-HSA-379716	NARS_(gene)	ENSG00000134440	cd04323;cd00776			IPR004364;IPR006195;IPR045864;IPR004522;IPR048952;IPR002312;IPR012340;IPR004365	PTHR22594:SF16;PTHR22594	PF20917;PF00152;PF01336		PR01042	PS50862		SSF55681;SSF50249	18
NAXD	Q8IW45	Q8IW45-1;Q8IW45-2;Q8IW45-3;Q8IW45-4	PRO_0000337021	NAXD	4.2.1.93	9606	UPI000007455F	19017;32231	0005524;0005739;0005759;0034356;0047453;0110051	CCDS55903.1;CCDS91836.1;CCDS9513.1	AK001631;AK024260;AK302117;AL139385;CH471085;BC041028	NP_001229810.1;NP_001229811.1;NP_001229812.1;NP_060680.2				Q8IW45	120857			Q8IW45									rs1566614549;rs3742191;rs3742192;rs1044112;rs767778853	70807;70808;70809;70810	ENST00000309957.3;ENST00000424185.7;ENST00000680505.1	55739	hsa:55739	NAXD	25576	ENSG00000213995	615910;618321	NX_Q8IW45	555402	PA164717652	KOG3974	ENSGT00390000000917	CLU_030651_0_1_1	WRAAYHN	8110916at2759	TF300116	MetaCyc:ENSG00000153481-MONOMER	4.2.1.93	R-HSA-197264	CARKD	ENSG00000213995	cd01171		MF_01965	IPR000631;IPR029056	PTHR12592:SF0;PTHR12592	PF01256			PS51383		SSF53613	13
NAXE	Q8NCW5	Q8NCW5-1;Q8NCW5-2	PRO_5000067606	NAXE	5.1.99.6	9606	UPI000013E275	32215;32227	0000166;0002040;0005576;0005615;0005634;0005739;0005759;0005829;0005929;0006869;0010874;0016525;0031580;0042802;0044297;0046496;0046872;0052856;0070062;0110051	CCDS1145.1	AJ315849;AK294835;AL365181;BC100931;BC100932;BC100933;BC100934	NP_658985.2				Q8NCW5	126103			Q8NCW5									rs7516274;rs765587923;rs879255647;rs886041064;rs897694449	72958;72959	ENST00000368235.8;ENST00000679702.1;ENST00000680004.1;ENST00000680269.1;ENST00000681054.1;ENST00000681523.1	128240	hsa:128240	NAXE	18453	ENSG00000163382	608862;617186	NX_Q8NCW5	555407	PA38538	KOG2585	ENSGT00390000007227	CLU_024853_3_0_1	RHLFHYG	10064708at2759	TF300197	MetaCyc:ENSG00000163382-MONOMER	5.1.99.6	R-HSA-197264		ENSG00000163382			MF_01966	IPR004443;IPR036652;IPR032976	PTHR13232;PTHR13232:SF11	PF03853			PS51385		SSF64153	1
NCEH1	Q6PIU2	Q6PIU2-1;Q6PIU2-2;Q6PIU2-3	PRO_0000265939	NCEH1	3.1.1.-;3.1.1.71	9606	UPI000020A7D9	11552;38563;36403;33875	0004771;0005789;0005886;0006805;0016020;0016042;0017171;0034383;0042301;0046485;0047378	CCDS33893.2;CCDS54681.1;CCDS54682.1	AB037784;AK294811;AK295641;AK299422;AK304253;AK316431;AC007919;AC069237;BC028734;BC047588	NP_001139748.1;NP_001139748.2;NP_001139749.1;NP_001139750.1;NP_065843.3				Q6PIU2	121608			Q6PIU2	CHEMBL5048					S09.992			rs35316420;rs2302815;rs17857335	27511;67177;67178;67179	ENST00000475381.7;ENST00000543711.5	57552	hsa:57552	NCEH1	29260	ENSG00000144959	613234	NX_Q6PIU2		PA165697847	KOG1515	ENSGT00940000156699	CLU_012494_12_0_1	FHGCMAF	408631at2759	TF314978		3.1.1.13	R-HSA-8964038	NCEH1	ENSG00000144959				IPR013094;IPR029058;IPR017157;IPR050300;IPR033140	PTHR48081;PTHR48081:SF29	PF07859	PIRSF037251		PS01174		SSF53474	3
NEDD8	Q15843		PRO_0000042767	NEDD8		9606	UPI00000009A5		0005634;0005654;0005737;0005829;0006357;0006508;0006511;0008104;0009653;0019941;0030162;0031386;0031625;0036211;0045116;0070062;0098978;0150052	CCDS9621.1	D23662;CR407662;BC104200;BC104201;BC104664	NP_006147.1	Q15843	1NDD;1R4M;1R4N;1XT9;2BKR;2KO3;2N7K;2NVU;3DBH;3DBL;3DBR;3DQV;3GZN;4F8C;4FBJ;4HCP;4P5O;6R7F;6R7I;6TTU;7B5L;7B5N;7ONI;8B3G;8B3I;8CAF;8H38;8Q7H;8RX0;8WQC;8WQG;8WZN;8WZO		Q15843	110815		DIP-29266N	Q15843	CHEMBL4295831									60788	ENST00000250495.10;ENST00000643069.2	4738	hsa:4738	NEDD8	7732	ENSG00000129559	603171	NX_Q15843		PA31537	KOG0005	ENSGT00940000155856	CLU_010412_6_4_1	YAGKQMA	428577at2759	TF300072			R-HSA-2173789;R-HSA-5689603;R-HSA-8856825;R-HSA-8951664;R-HSA-917937	NEDD8	ENSG00000129559	cd01806	DP02302		IPR038738;IPR000626;IPR029071;IPR019954;IPR019956;IPR050158	PTHR10666	PF00240		PR00348	PS00299;PS50053	SM00213	SSF54236	14
